City,Year,Category_staff,Number_staff,Category_of_beds,%_bed_occupied,Number_of_beds,Category_patient,Number_Patient
Tainan City,2012,Total,11215,Total,,9161,Clinic,6752981
Kaohsiung City,2012,Total,20238,Total,,17257,Clinic,13452168
Keelung City,2012,Total,2236,Total,,2235,Clinic,1620828
Hsinchu City,2012,Total,2820,Total,,2290,Clinic,2258917
Chiayi City,2012,Total,3917,Total,,3691,Clinic,2761541
New Taipei City,2012,Total,13489,Total,,12751,Clinic,9661483
Taoyuan City,2012,Total,13326,Total,,12085,Clinic,8790155
Hsinchu County,2012,Total,1346,Total,,2049,Clinic,969741
Yilan County,2012,Total,3162,Total,,3732,Clinic,2501017
Miaoli County,2012,Total,2160,Total,,3090,Clinic,1913624
Changhua County,2012,Total,7656,Total,,6999,Clinic,5588413
Nantou County,2012,Total,2353,Total,,3123,Clinic,2043212
Yunlin County,2012,Total,3000,Total,,3284,Clinic,2255173
Chiayi County,2012,Total,3111,Total,,3019,Clinic,1838568
Pingtung County,2012,Total,4527,Total,,5431,Clinic,3204388
Penghu County,2012,Total,360,Total,,455,Clinic,319838
Hualien County,2012,Total,3305,Total,,4183,Clinic,1693274
Taitung County,2012,Total,1250,Total,,1405,Clinic,732613
Kinmen County,2012,Total,260,Total,,251,Clinic,232927
Lienchiang County,2012,Total,36,Total,,46,Clinic,89435
Taipei City,2012,Doctor,6531,General,75,15533,Emergency,1150630
Taichung City,2012,Doctor,3258,General,66.4,12959,Emergency,864306
Tainan City,2012,Doctor,1835,General,68.1,6656,Emergency,575557
Kaohsiung City,2012,Doctor,3384,General,71.3,12278,Emergency,916788
Keelung City,2012,Doctor,407,General,67.1,1623,Emergency,143329
Hsinchu City,2012,Doctor,430,General,63.7,1601,Emergency,251315
Chiayi City,2012,Doctor,554,General,65.5,2539,Emergency,181351
New Taipei City,2012,Doctor,2178,General,75.4,9100,Emergency,828863
Taoyuan City,2012,Doctor,2265,General,71.4,8973,Emergency,651158
Hsinchu County,2012,Doctor,184,General,61.4,1517,Emergency,104928
Yilan County,2012,Doctor,377,General,73.7,2910,Emergency,208226
Miaoli County,2012,Doctor,279,General,63,2253,Emergency,146030
Changhua County,2012,Doctor,1177,General,67.5,5222,Emergency,368779
Nantou County,2012,Doctor,313,General,76,2407,Emergency,160586
Yunlin County,2012,Doctor,441,General,61.4,2278,Emergency,187965
Chiayi County,2012,Doctor,482,General,65.8,2406,Emergency,127670
Pingtung County,2012,Doctor,604,General,64.6,4110,Emergency,300104
Penghu County,2012,Doctor,60,General,59.6,337,Emergency,43980
Hualien County,2012,Doctor,570,General,84.8,3488,Emergency,150075
Taitung County,2012,Doctor,163,General,60.8,972,Emergency,102417
Kinmen County,2012,Doctor,37,General,65.3,188,Emergency,27595
Lienchiang County,2012,Doctor,7,General,13.3,40,Emergency,6934
Taipei City,2012,RN/LPN,18338,Specialty,70.9,5286,Surgery ,416782
Taichung City,2012,RN/LPN,12002,Specialty,74.3,4687,Surgery ,241296
Tainan City,2012,RN/LPN,7165,Specialty,73.6,2505,Surgery ,136255
Kaohsiung City,2012,RN/LPN,13150,Specialty,67.8,4979,Surgery ,230864
Keelung City,2012,RN/LPN,1355,Specialty,60.7,612,Surgery ,23209
Hsinchu City,2012,RN/LPN,1887,Specialty,74.1,689,Surgery ,43605
Chiayi City,2012,RN/LPN,2534,Specialty,74.1,1152,Surgery ,40511
New Taipei City,2012,RN/LPN,8486,Specialty,74,3651,Surgery ,159600
Taoyuan City,2012,RN/LPN,8575,Specialty,66.5,3112,Surgery ,167241
Hsinchu County,2012,RN/LPN,871,Specialty,73.5,532,Surgery ,12970
Yilan County,2012,RN/LPN,2167,Specialty,58.9,822,Surgery ,37052
Miaoli County,2012,RN/LPN,1349,Specialty,55.1,837,Surgery ,29202
Changhua County,2012,RN/LPN,4900,Specialty,67.1,1777,Surgery ,96285
Nantou County,2012,RN/LPN,1499,Specialty,60.1,716,Surgery ,25261
Yunlin County,2012,RN/LPN,1907,Specialty,57.5,1006,Surgery ,35179
Chiayi County,2012,RN/LPN,2052,Specialty,64.1,613,Surgery ,34304
Pingtung County,2012,RN/LPN,3045,Specialty,61.4,1321,Surgery ,43773
Penghu County,2012,RN/LPN,224,Specialty,24.4,118,Surgery ,3367
Hualien County,2012,RN/LPN,2041,Specialty,65.7,695,Surgery ,33065
Taitung County,2012,RN/LPN,843,Specialty,58.7,433,Surgery ,10370
Kinmen County,2012,RN/LPN,156,Specialty,36.4,63,Surgery ,1505
Lienchiang County,2012,RN/LPN,18,Specialty,0,6,Surgery ,52
Taipei City,2013,Total,31283,Total,,20660,Clinic,22860271
Taichung City,2013,Total,19742,Total,,17768,Clinic,13728358
Tainan City,2013,Total,11909,Total,,9320,Clinic,7080493
Kaohsiung City,2013,Total,20902,Total,,16954,Clinic,13701346
Keelung City,2013,Total,2338,Total,,2296,Clinic,1635321
Hsinchu City,2013,Total,3019,Total,,2363,Clinic,2286163
Chiayi City,2013,Total,4009,Total,,3669,Clinic,2878628
New Taipei City,2013,Total,13930,Total,,12610,Clinic,9969701
Taoyuan City,2013,Total,13546,Total,,12096,Clinic,8568730
Hsinchu County,2013,Total,1408,Total,,2075,Clinic,1033965
Yilan County,2013,Total,3234,Total,,3673,Clinic,2429891
Miaoli County,2013,Total,2219,Total,,2843,Clinic,1914989
Changhua County,2013,Total,7795,Total,,6967,Clinic,5637300
Nantou County,2013,Total,2359,Total,,3014,Clinic,2081842
Yunlin County,2013,Total,3116,Total,,3259,Clinic,2344303
Chiayi County,2013,Total,3231,Total,,3098,Clinic,1869929
Pingtung County,2013,Total,4564,Total,,5272,Clinic,3235885
Penghu County,2013,Total,386,Total,,471,Clinic,344282
Hualien County,2013,Total,3340,Total,,4197,Clinic,1728621
Taitung County,2013,Total,1286,Total,,1295,Clinic,727418
Kinmen County,2013,Total,254,Total,,251,Clinic,245859
Lienchiang County,2013,Total,46,Total,,46,Clinic,83755
Taipei City,2013,Doctor,6542,General,74.6,15051,Emergency,1060092
Taichung City,2013,Doctor,3293,General,64.9,13053,Emergency,825484
Tainan City,2013,Doctor,1913,General,71.5,6744,Emergency,564567
Kaohsiung City,2013,Doctor,3563,General,72.4,12029,Emergency,869501
Keelung City,2013,Doctor,443,General,67,1685,Emergency,131012
Hsinchu City,2013,Doctor,460,General,63.2,1682,Emergency,230909
Chiayi City,2013,Doctor,571,General,66.6,2528,Emergency,168161
New Taipei City,2013,Doctor,2299,General,74.9,9017,Emergency,781711
Taoyuan City,2013,Doctor,2299,General,71.9,8800,Emergency,627522
Hsinchu County,2013,Doctor,184,General,60.4,1566,Emergency,110920
Yilan County,2013,Doctor,402,General,73.3,2874,Emergency,196980
Miaoli County,2013,Doctor,278,General,68.1,2008,Emergency,141722
Changhua County,2013,Doctor,1213,General,66,5188,Emergency,347047
Nantou County,2013,Doctor,321,General,76.9,2301,Emergency,152348
Yunlin County,2013,Doctor,442,General,61.1,2241,Emergency,177967
Chiayi County,2013,Doctor,482,General,68.7,2406,Emergency,118260
Pingtung County,2013,Doctor,612,General,64.8,4017,Emergency,286905
Penghu County,2013,Doctor,74,General,57.5,353,Emergency,41323
Hualien County,2013,Doctor,587,General,84,3440,Emergency,141016
Taitung County,2013,Doctor,160,General,64.4,920,Emergency,94957
Kinmen County,2013,Doctor,38,General,66,188,Emergency,25473
Lienchiang County,2013,Doctor,11,General,15.1,40,Emergency,7450
Taipei City,2013,RN/LPN,18392,Specialty,63.4,5609,Surgery ,415183
Taichung City,2013,RN/LPN,12348,Specialty,71.1,4715,Surgery ,246211
Tainan City,2013,RN/LPN,7650,Specialty,69.7,2576,Surgery ,140684
Kaohsiung City,2013,RN/LPN,13360,Specialty,64.6,4922,Surgery ,232993
Keelung City,2013,RN/LPN,1403,Specialty,54.4,611,Surgery ,25981
Hsinchu City,2013,RN/LPN,2010,Specialty,69.7,681,Surgery ,44646
Chiayi City,2013,RN/LPN,2574,Specialty,71.8,1141,Surgery ,42735
New Taipei City,2013,RN/LPN,8687,Specialty,73.5,3593,Surgery ,168070
Taoyuan City,2013,RN/LPN,8678,Specialty,65.9,3296,Surgery ,170581
Hsinchu County,2013,RN/LPN,902,Specialty,71.3,509,Surgery ,13773
Yilan County,2013,RN/LPN,2196,Specialty,58.8,799,Surgery ,35752
Miaoli County,2013,RN/LPN,1390,Specialty,53.9,835,Surgery ,29668
Changhua County,2013,RN/LPN,4942,Specialty,66.7,1779,Surgery ,97903
Nantou County,2013,RN/LPN,1478,Specialty,54.3,713,Surgery ,25078
Yunlin County,2013,RN/LPN,1995,Specialty,56.5,1018,Surgery ,36225
Chiayi County,2013,RN/LPN,2147,Specialty,54.1,692,Surgery ,37388
Pingtung County,2013,RN/LPN,3058,Specialty,61.2,1255,Surgery ,45982
Penghu County,2013,RN/LPN,230,Specialty,29.3,118,Surgery ,3583
Hualien County,2013,RN/LPN,2021,Specialty,57.2,757,Surgery ,34277
Taitung County,2013,RN/LPN,834,Specialty,66.5,375,Surgery ,10222
Kinmen County,2013,RN/LPN,149,Specialty,32,63,Surgery ,1842
Lienchiang County,2013,RN/LPN,17,Specialty,0,6,Surgery ,51
Taipei City,2014,Total,31906,Total,,20257,Clinic,22889596
Taichung City,2014,Total,20027,Total,,17765,Clinic,14012036
Tainan City,2014,Total,12206,Total,,9401,Clinic,7520842
Kaohsiung City,2014,Total,21346,Total,,16915,Clinic,13826131
Keelung City,2014,Total,2469,Total,,2387,Clinic,1710241
Hsinchu City,2014,Total,3139,Total,,2385,Clinic,2356481
Chiayi City,2014,Total,4047,Total,,3481,Clinic,2950236
New Taipei City,2014,Total,14329,Total,,12788,Clinic,10241235
Taoyuan City,2014,Total,13915,Total,,12063,Clinic,8877551
Hsinchu County,2014,Total,1450,Total,,2073,Clinic,1056003
Yilan County,2014,Total,3364,Total,,3453,Clinic,2478329
Miaoli County,2014,Total,2278,Total,,2962,Clinic,1928870
Changhua County,2014,Total,7949,Total,,6886,Clinic,5726361
Nantou County,2014,Total,2323,Total,,2980,Clinic,2134983
Yunlin County,2014,Total,3291,Total,,3274,Clinic,2091112
Chiayi County,2014,Total,3384,Total,,3042,Clinic,1908027
Pingtung County,2014,Total,4627,Total,,5020,Clinic,3210762
Penghu County,2014,Total,382,Total,,471,Clinic,357024
Hualien County,2014,Total,3402,Total,,4183,Clinic,1794025
Taitung County,2014,Total,1315,Total,,1286,Clinic,749024
Kinmen County,2014,Total,264,Total,,400,Clinic,225058
Lienchiang County,2014,Total,42,Total,,46,Clinic,82677
Taipei City,2014,Doctor,6626,General,74.9,14705,Emergency,1081832
Taichung City,2014,Doctor,3369,General,65.5,13048,Emergency,847896
Tainan City,2014,Doctor,1924,General,73.7,6667,Emergency,587491
Kaohsiung City,2014,Doctor,3668,General,72.5,12022,Emergency,918061
Keelung City,2014,Doctor,466,General,68.9,1776,Emergency,133899
Hsinchu City,2014,Doctor,498,General,65.6,1678,Emergency,240319
Chiayi City,2014,Doctor,576,General,66.3,2380,Emergency,173480
New Taipei City,2014,Doctor,2394,General,73.3,9104,Emergency,796215
Taoyuan City,2014,Doctor,2377,General,73.3,8766,Emergency,645124
Hsinchu County,2014,Doctor,200,General,63.3,1545,Emergency,109366
Yilan County,2014,Doctor,420,General,76.8,2677,Emergency,205430
Miaoli County,2014,Doctor,286,General,59.5,2138,Emergency,145534
Changhua County,2014,Doctor,1206,General,68.5,5111,Emergency,365379
Nantou County,2014,Doctor,315,General,77.5,2279,Emergency,154583
Yunlin County,2014,Doctor,465,General,61.6,2247,Emergency,184858
Chiayi County,2014,Doctor,526,General,72.7,2344,Emergency,125258
Pingtung County,2014,Doctor,619,General,69.8,3775,Emergency,297538
Penghu County,2014,Doctor,64,General,58.2,353,Emergency,39994
Hualien County,2014,Doctor,591,General,82.5,3454,Emergency,144781
Taitung County,2014,Doctor,168,General,68.3,898,Emergency,103495
Kinmen County,2014,Doctor,39,General,36.9,335,Emergency,26303
Lienchiang County,2014,Doctor,11,General,10.4,40,Emergency,7220
Taipei City,2014,RN/LPN,18706,Specialty,67.4,5552,Surgery ,426123
Taichung City,2014,RN/LPN,12461,Specialty,69.5,4717,Surgery ,253634
Tainan City,2014,RN/LPN,7855,Specialty,69.9,2734,Surgery ,150020
Kaohsiung City,2014,RN/LPN,13587,Specialty,65.9,4890,Surgery ,233682
Keelung City,2014,RN/LPN,1495,Specialty,55.7,611,Surgery ,27370
Hsinchu City,2014,RN/LPN,2069,Specialty,73.8,707,Surgery ,48973
Chiayi City,2014,RN/LPN,2572,Specialty,77,1101,Surgery ,45036
New Taipei City,2014,RN/LPN,8836,Specialty,73,3684,Surgery ,175367
Taoyuan City,2014,RN/LPN,8903,Specialty,66.8,3297,Surgery ,176098
Hsinchu County,2014,RN/LPN,910,Specialty,66.7,528,Surgery ,14148
Yilan County,2014,RN/LPN,2270,Specialty,59.8,776,Surgery ,36846
Miaoli County,2014,RN/LPN,1438,Specialty,54.1,824,Surgery ,33108
Changhua County,2014,RN/LPN,5052,Specialty,69.3,1775,Surgery ,100477
Nantou County,2014,RN/LPN,1446,Specialty,56.7,701,Surgery ,25661
Yunlin County,2014,RN/LPN,2131,Specialty,59.9,1027,Surgery ,36801
Chiayi County,2014,RN/LPN,2230,Specialty,57.2,698,Surgery ,38879
Pingtung County,2014,RN/LPN,3083,Specialty,64,1245,Surgery ,46479
Penghu County,2014,RN/LPN,227,Specialty,32.7,118,Surgery ,4057
Hualien County,2014,RN/LPN,2080,Specialty,57.2,729,Surgery ,34406
Taitung County,2014,RN/LPN,844,Specialty,63.6,388,Surgery ,10590
Kinmen County,2014,RN/LPN,150,Specialty,29.1,65,Surgery ,1914
Lienchiang County,2014,RN/LPN,15,Specialty,0,6,Surgery ,42
Taipei City,2015,Total,32717,Total,,20104,Clinic,22616866
Taichung City,2015,Total,20699,Total,,17899,Clinic,14288951
Tainan City,2015,Total,12770,Total,,9579,Clinic,7926271
Kaohsiung City,2015,Total,22032,Total,,17094,Clinic,13704167
Keelung City,2015,Total,2511,Total,,2397,Clinic,1736051
Hsinchu City,2015,Total,3361,Total,,2381,Clinic,2412021
Chiayi City,2015,Total,4104,Total,,3404,Clinic,2991084
New Taipei City,2015,Total,14795,Total,,12706,Clinic,10218125
Taoyuan City,2015,Total,14571,Total,,11965,Clinic,8875718
Hsinchu County,2015,Total,1513,Total,,2154,Clinic,1025775
Yilan County,2015,Total,3325,Total,,3449,Clinic,2541048
Miaoli County,2015,Total,2306,Total,,2935,Clinic,1935066
Changhua County,2015,Total,8273,Total,,6892,Clinic,5793960
Nantou County,2015,Total,2342,Total,,2970,Clinic,2156586
Yunlin County,2015,Total,3386,Total,,3288,Clinic,2130903
Chiayi County,2015,Total,3342,Total,,3026,Clinic,1945168
Pingtung County,2015,Total,4746,Total,,4940,Clinic,3199832
Penghu County,2015,Total,380,Total,,471,Clinic,356736
Hualien County,2015,Total,3476,Total,,4057,Clinic,1799945
Taitung County,2015,Total,1372,Total,,1233,Clinic,756959
Kinmen County,2015,Total,269,Total,,348,Clinic,215779
Lienchiang County,2015,Total,42,Total,,43,Clinic,80647
Taipei City,2015,Doctor,6798,General,75.6,12965,Emergency,1092187
Taichung City,2015,Doctor,3489,General,65.3,10710,Emergency,861401
Tainan City,2015,Doctor,2004,General,73.1,5571,Emergency,633856
Kaohsiung City,2015,Doctor,3835,General,72.2,10235,Emergency,942734
Keelung City,2015,Doctor,476,General,74.3,1281,Emergency,137760
Hsinchu City,2015,Doctor,516,General,64.5,1561,Emergency,242013
Chiayi City,2015,Doctor,577,General,68.4,1970,Emergency,175999
New Taipei City,2015,Doctor,2434,General,73.6,6600,Emergency,797964
Taoyuan City,2015,Doctor,2454,General,73.7,6955,Emergency,663052
Hsinchu County,2015,Doctor,201,General,62.7,857,Emergency,110976
Yilan County,2015,Doctor,413,General,75.5,1951,Emergency,210807
Miaoli County,2015,Doctor,279,General,65.1,1432,Emergency,153570
Changhua County,2015,Doctor,1259,General,67.9,3728,Emergency,374182
Nantou County,2015,Doctor,311,General,77.9,1216,Emergency,156421
Yunlin County,2015,Doctor,470,General,63.2,1815,Emergency,189223
Chiayi County,2015,Doctor,544,General,73.1,1760,Emergency,128103
Pingtung County,2015,Doctor,643,General,71.9,2638,Emergency,304695
Penghu County,2015,Doctor,58,General,57.6,237,Emergency,41903
Hualien County,2015,Doctor,601,General,82.1,1484,Emergency,148984
Taitung County,2015,Doctor,164,General,70.2,621,Emergency,93967
Kinmen County,2015,Doctor,33,General,47.1,169,Emergency,27924
Lienchiang County,2015,Doctor,8,General,21.9,26,Emergency,6776
Taipei City,2015,RN/LPN,19250,Specialty,70.9,5492,Surgery ,372903
Taichung City,2015,RN/LPN,12932,Specialty,70.2,4741,Surgery ,257853
Tainan City,2015,RN/LPN,8205,Specialty,71.9,2747,Surgery ,156566
Kaohsiung City,2015,RN/LPN,13996,Specialty,68.3,4842,Surgery ,243329
Keelung City,2015,RN/LPN,1521,Specialty,59.8,613,Surgery ,28096
Hsinchu City,2015,RN/LPN,2249,Specialty,71.7,703,Surgery ,51502
Chiayi City,2015,RN/LPN,2622,Specialty,73.1,1101,Surgery ,46078
New Taipei City,2015,RN/LPN,9198,Specialty,73.7,3665,Surgery ,182892
Taoyuan City,2015,RN/LPN,9395,Specialty,66.9,3365,Surgery ,171005
Hsinchu County,2015,RN/LPN,959,Specialty,61.1,549,Surgery ,14433
Yilan County,2015,RN/LPN,2256,Specialty,58.9,772,Surgery ,36971
Miaoli County,2015,RN/LPN,1464,Specialty,56.3,797,Surgery ,29544
Changhua County,2015,RN/LPN,5260,Specialty,64.9,1823,Surgery ,104741
Nantou County,2015,RN/LPN,1480,Specialty,61,691,Surgery ,24949
Yunlin County,2015,RN/LPN,2196,Specialty,59.3,1041,Surgery ,39141
Chiayi County,2015,RN/LPN,2189,Specialty,61.6,682,Surgery ,41112
Pingtung County,2015,RN/LPN,3157,Specialty,64.2,1236,Surgery ,46335
Penghu County,2015,RN/LPN,233,Specialty,32,118,Surgery ,3762
Hualien County,2015,RN/LPN,2127,Specialty,62.1,691,Surgery ,34685
Taitung County,2015,RN/LPN,912,Specialty,63.5,366,Surgery ,10732
Kinmen County,2015,RN/LPN,161,Specialty,22.3,77,Surgery ,1959
Lienchiang County,2015,RN/LPN,18,Specialty,2.3,17,Surgery ,43
