title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Gex 3: Deep Cover Gecko (Console/PC);6.5;;;6.5;Nintendo 64
Gex: Enter the Gecko;9.5;;9;9;Nintendo 64
Hey You, Pikachu!;;8;;8;Nintendo 64
Jet Force Gemini;19.5;22.5;33;22;Nintendo 64
Mission: Impossible;9;;;9;Nintendo 64
Mortal Kombat 4;1.5;6.5;7;4.5;Nintendo 64
Mortal Kombat Trilogy;1.5;3;10;2;Nintendo 64
Mystical Ninja Starring Goemon;9.5;8.5;6.5;9;Nintendo 64
Pilotwings 64;5.5;;10;6;Nintendo 64
Rampage World Tour;3.5;6.5;9;5.5;Nintendo 64
Star Wars: Rogue Squadron;13;9;10.5;10.5;Nintendo 64
Tom Clancy's Rainbow Six;15;15;13;15;Nintendo 64
Turok 2: Seeds of Evil (Console/PC);8.5;16.5;24;17;Nintendo 64
Turok 3: Shadow of Oblivion (Console);7;6;;6.5;Nintendo 64
Turok: Rage Wars (N64);;10;14.5;12;Nintendo 64
Snowboard Kids 2;20;21;;20.5;Nintendo 64
Rampage 2: Universal Tour;;;;;Nintendo 64
Army Men: Sarge's Heroes;12.5;12.5;;12.5;Nintendo 64
Army Men: Sarge's Heroes 2;11;;7;9;Nintendo 64
Cruis'n World;;;;;Nintendo 64
Earthworm Jim 3D;12;9.5;9;9.5;Nintendo 64
Extreme-G;1.5;15;18;13;Nintendo 64
Fighting Force;5.5;4;7;5.5;Nintendo 64
International Superstar Soccer 64;;;;;Nintendo 64
Mario Party 3;7.5;;33.5;11.5;Nintendo 64
Mischief Makers;4;8.5;;5.5;Nintendo 64
Spider-Man (2000);10;8.5;12;10;Nintendo 64
Tetrisphere;;;;;Nintendo 64
Vigilante 8 (Console);5;18;19;15;Nintendo 64
1080 Snowboarding;3;5;10.5;5;Nintendo 64
Beetle Adventure Racing!;;15;6;10.5;Nintendo 64
Buck Bumble;10;;;10;Nintendo 64
Chameleon Twist;3.5;2;;2.5;Nintendo 64
ClayFighter 63 1/3;0.5833333333333334;;;0.5833333333333334;Nintendo 64
Destruction Derby;5;7;;5.5;Nintendo 64
Disney's Tarzan;8.5;15;;9.5;Nintendo 64
Doom 64;8;4.5;;7.5;Nintendo 64
Duke Nukem 64;7;;;7;Nintendo 64
Duke Nukem: Zero Hour;;;;;Nintendo 64
F-1 World Grand Prix;;5;;5;Nintendo 64
FIFA '99;11.5;;;;Nintendo 64
Forsaken;8;;;8;Nintendo 64
Glover;3.5;;5;4.5;Nintendo 64
Goemon's Great Adventure;;10;;10;Nintendo 64
Harvest Moon 64;40;;150;63.5;Nintendo 64
Hot Wheels Turbo Racing;;;;;Nintendo 64
Hybrid Heaven;9.5;14.5;;12;Nintendo 64
Iggy's Reckin' Balls;7;;;7;Nintendo 64
Indiana Jones and the Infernal Machine;;;;;Nintendo 64
Lego Racers;5;;8;6.5;Nintendo 64
Mickey's Speedway USA;8;;;8;Nintendo 64
Nagano Winter Olympics '98;1;;;;Nintendo 64
Neon Genesis Evangelion;;;;;Nintendo 64
NFL Blitz;;;;;Nintendo 64
NHL 99;40;;;;Nintendo 64
Nightmare Creatures;;8;13;10.5;Nintendo 64
Ogre Battle 64: Person of Lordly Caliber;;47;;47;Nintendo 64
Paperboy (N64);;;;;Nintendo 64
Pokémon Puzzle League;6;7;;6.5;Nintendo 64
Quake 64;;;;;Nintendo 64
Quest 64;9.5;11.5;;10.5;Nintendo 64
Re-Volt;7.5;17.5;20;14.5;Nintendo 64
Ready 2 Rumble Boxing (Console);6;;15;11;Nintendo 64
Ridge Racer 64;;;;;Nintendo 64
Road Rash 64;;;18;18;Nintendo 64
San Francisco Rush 2049;10;14.5;25;17.5;Nintendo 64
San Francisco Rush: Extreme Racing;12;21;;13;Nintendo 64
Snowboard Kids;3;16.5;4;8;Nintendo 64
South Park;7;;5.5;7;Nintendo 64
Space Station Silicon Valley;19;20;32;21;Nintendo 64
Star Wars Episode I: Racer;13.5;12;15;13.5;Nintendo 64
Star Wars: Episode I: Battle for Naboo;;5;;5;Nintendo 64
StarCraft 64;;;;;Nintendo 64
Superman (1999);6.5;;;6.5;Nintendo 64
The World Is Not Enough;6.5;10;;7.5;Nintendo 64
Tigger's Honey Hunt;2;;2;2;Nintendo 64
Tonic Trouble;;6;9.5;8.5;Nintendo 64
Toy Story 2: Buzz Lightyear to the Rescue;9;9;9.5;9.5;Nintendo 64
Vigilante 8: 2nd Offense;18.5;25.5;;19.5;Nintendo 64
War Gods;;;;;Nintendo 64
WCW vs. nWo: World Tour;;3;8.5;6.5;Nintendo 64
WCW/nWo Revenge;4;5;11;6.5;Nintendo 64
WinBack: Covert Operations;;;;;Nintendo 64
Wipeout 64;;;6;6;Nintendo 64
World Cup 98;36;;;;Nintendo 64
WWF Attitude;6.5;8;;7;Nintendo 64
WWF No Mercy;8;9;28.5;12.5;Nintendo 64
WWF War Zone;4.5;;;4.5;Nintendo 64
WWF WrestleMania 2000;6;29;35;25.5;Nintendo 64
Top Gear Rally;;;10;10;Nintendo 64
Star Soldier: Vanishing Earth;1;;;1;Nintendo 64
WCW Nitro;;;;;Nintendo 64
Mace: The Dark Age;;;;;Nintendo 64
Magical Tetris Challenge;;;;;Nintendo 64
Dark Rift;;10;;10;Nintendo 64
NBA Hangtime;;;;;Nintendo 64
MRC: Multi-Racing Championship;;;30;30;Nintendo 64
Madden Football 64;;;;;Nintendo 64
Aero Fighters Assault;4;;22;13;Nintendo 64
Aidyn Chronicles: The First Mage;;42;;42;Nintendo 64
Army Men: Air Attack;;;;;Nintendo 64
Automobili Lamborghini;;;8;8;Nintendo 64
BattleTanx;;7;;7;Nintendo 64
BattleTanx: Global Assault;6.5;6;24;8;Nintendo 64
Chameleon Twist 2;2.5;;;2.5;Nintendo 64
Duck Dodgers Starring Daffy Duck;8;;;8;Nintendo 64
Gauntlet Legends;48.5;40;49.5;48.5;Nintendo 64
NASCAR 99;20;;;20;Nintendo 64
Rocket: Robot on Wheels;;;9.5;9.5;Nintendo 64
Rugrats: Scavenger Hunt;4;;;4;Nintendo 64
Rush 2: Extreme Racing USA;;;;;Nintendo 64
South Park: Chef's Luv Shack;0.25;;;0.25;Nintendo 64
International Superstar Soccer 2000;;;;;Nintendo 64
Fighters Destiny;;;12;12;Nintendo 64
International Superstar Soccer 98;;;;;Nintendo 64
All-Star Baseball 2001;;;;;Nintendo 64
Twisted Edge Extreme Snowboarding;;;;;Nintendo 64
Plants vs. Zombies;7.5;19.5;45;17.5;Nintendo DS
Star Wars: The Force Unleashed II;5;7;11;5.5;Nintendo DS
Chrono Trigger;23.5;26;46;27;Nintendo DS
Broken Sword: The Shadow of the Templars - Director's Cut;10;10;11;10;Nintendo DS
Call of Duty 4: Modern Warfare;7;9.5;16;7.5;Nintendo DS
Call of Duty: World at War;8;11.5;24;9.5;Nintendo DS
Prince of Persia: The Forgotten Sands;8;9.5;11;8.5;Nintendo DS
Final Fantasy IV (3D);32.5;39.5;55;38;Nintendo DS
Lego Batman 2: DC Super Heroes;9;15;25.5;14;Nintendo DS
Final Fantasy III (3D);31;34.5;48.5;34;Nintendo DS
Lego Harry Potter: Years 1-4;13;18;26.5;19;Nintendo DS
Lego Star Wars: The Complete Saga;14;23;42.5;22.5;Nintendo DS
The Legend of Zelda: Phantom Hourglass;15.5;20;28;20;Nintendo DS
Might and Magic: Clash of Heroes;24.5;30;36;31;Nintendo DS
Lego Batman: The Videogame;9;16;29.5;16;Nintendo DS
Super Mario 64;14;19.5;26;18.5;Nintendo DS
The Legend of Zelda: Spirit Tracks;18;25.5;29;22.5;Nintendo DS
Kirby Mass Attack;10;12;13.5;11.5;Nintendo DS
Star Wars: The Force Unleashed;8;11;16.5;9.5;Nintendo DS
Final Fantasy Tactics Advance;48;79;130;65.5;Nintendo DS
Pokémon Black and White;33.5;66;152.5;49.5;Nintendo DS
Puzzle Quest: Challenge of the Warlords;36;41;57;41;Nintendo DS
Sonic the Hedgehog (1991);1.5;2;2;2;Nintendo DS
The Legend of Zelda: The Minish Cap;15.5;19.5;27;19;Nintendo DS
New Super Mario Bros. 2;5.5;10.5;19;9.5;Nintendo DS
Pokémon HeartGold and SoulSilver;41;74.5;207;61.5;Nintendo DS
Professor Layton and the Diabolical Box;13.5;15.5;16.5;14.5;Nintendo DS
Professor Layton and the Unwound Future;15.5;17;20;17;Nintendo DS
Super Mario Bros. 2;2.5;2.5;3.5;2.5;Nintendo DS
Dragon Quest V: Hand of the Heavenly Bride;30.5;37;41.5;34.5;Nintendo DS
Fire Emblem: The Sacred Stones;26;34;39;29.5;Nintendo DS
Metroid Fusion;5;5.5;7;5.5;Nintendo DS
Need for Speed: Underground 2;19.5;20.5;20.5;20;Nintendo DS
Pokémon Emerald;30;61.5;157.5;46.5;Nintendo DS
Pokémon FireRed and LeafGreen;30;56;161.5;46;Nintendo DS
Pokémon Platinum;34;81.5;198;56;Nintendo DS
Sonic Colors;5;8;14.5;6;Nintendo DS
Sonic the Hedgehog 2 (16-bit);2.5;3;3;2.5;Nintendo DS
Dragon Quest IX: Sentinels of the Starry Skies;48;85;784;83;Nintendo DS
Dragon Quest VI: Realms of Revelation;40.5;47.5;63;45;Nintendo DS
Fire Emblem: Shadow Dragon;21.5;25;34.5;23;Nintendo DS
Kingdom Hearts 358/2 Days;26;34;50.5;31;Nintendo DS
Mario & Luigi: Bowser's Inside Story;22.5;25.5;35.5;24.5;Nintendo DS
Metroid: Zero Mission;4.5;5;6.5;5;Nintendo DS
Phoenix Wright: Ace Attorney: Trials and Tribulations;19.5;18.5;23;21;Nintendo DS
Dragon Quest IV: Chapters of the Chosen;26.5;33;40.5;31;Nintendo DS
Final Fantasy Tactics A2: Grimoire of the Rift;49;81;112.5;76.5;Nintendo DS
Lego Indiana Jones 2: The Adventure Continues;12.5;19.5;28;20;Nintendo DS
Mario & Luigi: Dream Team;40.5;46;62;44;Nintendo DS
Professor Layton and the Last Specter;12.5;18;19.5;15.5;Nintendo DS
Secret Files: Tunguska;9;8;12;9.5;Nintendo DS
The World Ends with You;25.5;51.5;136.5;40.5;Nintendo DS
999: Nine Hours, Nine Persons, Nine Doors;9;19.5;21.5;19;Nintendo DS
Final Fantasy I & II: Dawn of Souls;28.5;33.5;34;30.5;Nintendo DS
Golden Sun: Dark Dawn;26;30.5;36.5;29.5;Nintendo DS
Lego Indiana Jones: The Original Adventures;10;15;24;14;Nintendo DS
Mario & Luigi: Partners in Time;18;19;30.5;19;Nintendo DS
New Super Mario Bros.;7;10.5;16;10;Nintendo DS
Okamiden;21;24;26.5;23;Nintendo DS
Phoenix Wright: Ace Attorney;15.5;21;22;18.5;Nintendo DS
Pokémon Diamond and Pearl;42.5;94.5;266.5;84;Nintendo DS
Radiant Historia;35;41.5;45;40.5;Nintendo DS
Rayman DS;;;;;Nintendo DS
Another Code: Two Memories;5.5;6.5;8.5;6;Nintendo DS
Apollo Justice: Ace Attorney;18.5;19;22;19;Nintendo DS
Castlevania: Dawn of Sorrow;11;14;27.5;14.5;Nintendo DS
Crash: Mind over Mutant;5.5;;5.5;5.5;Nintendo DS
Mario Party DS;6.5;6.5;8;7;Nintendo DS
Pokémon Ruby and Sapphire;37.5;77.5;264;68;Nintendo DS
Professor Layton and the Curious Village;12.5;15;15;14;Nintendo DS
Sonic & Sega All-Stars Racing;6.5;15;21;11;Nintendo DS
Castlevania: Order of Ecclesia;10.5;14;22;14;Nintendo DS
Final Fantasy VI Advance;34;42;50;40.5;Nintendo DS
Final Fantasy XII: Revenant Wings;21;31;51;33;Nintendo DS
Grand Theft Auto: Chinatown Wars;9;13;13.5;10.5;Nintendo DS
Mario & Luigi: Superstar Saga;18.5;20.5;30;20;Nintendo DS
Mario vs. Donkey Kong: Mini-Land Mayhem!;6;;14.5;10.5;Nintendo DS
Phoenix Wright: Ace Attorney: Justice for All;16.5;19;19.5;18;Nintendo DS
Pokémon Black and White 2;35;72.5;194.5;57;Nintendo DS
Pokémon Mystery Dungeon: Explorers of Sky;29;96.5;127.5;60.5;Nintendo DS
Batman: The Brave and the Bold;5;5;;5;Nintendo DS
Dark Void Zero;2.5;;2;2;Nintendo DS
Final Fantasy Fables: Chocobo Tales;10;12;24;15;Nintendo DS
Ghost Trick: Phantom Detective;12;12.5;13.5;12.5;Nintendo DS
Lego Star Wars II: The Original Trilogy;11.5;14.5;28;15.5;Nintendo DS
Metroid Prime Hunters;8.5;9;12;9;Nintendo DS
Puzzle Quest 2;30.5;42.5;38;39;Nintendo DS
Resident Evil;6.5;8;15;7.5;Nintendo DS
Shin Megami Tensei: Devil Survivor;30;47.5;67.5;43;Nintendo DS
Sonic Advance;2;3;7;2.5;Nintendo DS
Yoshi Touch & Go;3;6;;4.5;Nintendo DS
Advance Wars: Dual Strike;23.5;64.5;195.5;51.5;Nintendo DS
Castlevania: Aria of Sorrow;7;8;14;8.5;Nintendo DS
Castlevania: Portrait of Ruin;10.5;12.5;24.5;12.5;Nintendo DS
Cooking Mama;8;;;8;Nintendo DS
Drawn to Life;14.5;14;13;14;Nintendo DS
Final Fantasy Crystal Chronicles: Echoes of Time;16;22;27;17.5;Nintendo DS
Final Fantasy III (Original);34;43.5;52.5;40.5;Nintendo DS
Hotel Dusk: Room 215;16.5;;;;Nintendo DS
Kirby: Canvas Curse;5;7;16.5;7;Nintendo DS
Mario vs. Donkey Kong: Minis March Again!;3.5;6;14.5;6;Nintendo DS
Mega Man Zero 2;3;3.5;8.5;3.5;Nintendo DS
Mega Man ZX Advent;7.5;14;16;12.5;Nintendo DS
Mystery Dungeon: Shiren the Wanderer;;;44;44;Nintendo DS
Rayman Raving Rabbids;6;8;7.5;6.5;Nintendo DS
Super Princess Peach;7;9;13;9.5;Nintendo DS
The Legend of Zelda: Four Swords Anniversary Edition;3.5;5;16.5;5;Nintendo DS
Ace Attorney Investigations: Miles Edgeworth;22;17.5;23;23;Nintendo DS
Animal Crossing: Wild World;65.5;202;285.5;133;Nintendo DS
Avalon Code;20.5;;33;22.5;Nintendo DS
Castlevania: Harmony of Dissonance;8;9;20;10.5;Nintendo DS
Diddy Kong Racing DS;12;;24;15;Nintendo DS
Disgaea DS;43;74;120.5;73.5;Nintendo DS
Dragon Ball: Origins;10.5;12.5;;11;Nintendo DS
Dragon Quest Monsters: Joker 2;24;38.5;61;33.5;Nintendo DS
Final Fantasy Crystal Chronicles: Ring of Fates;12;15.5;33;14;Nintendo DS
Final Fantasy: The 4 Heroes of Light;31.5;44;44.5;37.5;Nintendo DS
Fire Emblem: Shin Monshō no Nazo: Hikari to Kage no Eiyū;15.5;21.5;;17.5;Nintendo DS
Kingdom Hearts Re:coded;16;26.5;34.5;19;Nintendo DS
Mario & Sonic at the Olympic Games;;9;10;9.5;Nintendo DS
Mario Kart DS;4.5;10;14;9;Nintendo DS
Mario vs. Donkey Kong 2: March of the Minis;3.5;7;;5;Nintendo DS
Mega Man Zero;3;4;7;4;Nintendo DS
Nintendogs;29;32;100;37;Nintendo DS
Picross 3D;50.5;64.5;76;71;Nintendo DS
Pokémon Crystal;32.5;57;193;49.5;Nintendo DS
Pokémon Mystery Dungeon: Blue/Red Rescue Team;24.5;39;101;33.5;Nintendo DS
Rhythm Heaven;7;8.5;16;9.5;Nintendo DS
Scribblenauts;7.5;;9;8.5;Nintendo DS
Shantae: Risky's Revenge;5.5;7;8;6.5;Nintendo DS
Shin Megami Tensei: Devil Survivor Overclocked;44;58.5;118;53;Nintendo DS
Shin Megami Tensei: Strange Journey;56.5;74.5;107.5;70;Nintendo DS
Space Invaders Extreme;;;;;Nintendo DS
Summon Night: Twin Age;13.5;15.5;24;15.5;Nintendo DS
Super Mario 64 DS;13.5;25;30.5;23.5;Nintendo DS
Tetris DS;16;35.5;33.5;32;Nintendo DS
Ultimate Spider-Man;5;9;14.5;6;Nintendo DS
Wario Land 4;5.5;8.5;11;7.5;Nintendo DS
Yoshi's Island DS;9.5;10;;9.5;Nintendo DS
Flash Focus: Vision Training in Minutes a Day;6;;;6;Nintendo DS
Advance Wars: Days of Ruin;16.5;37;63.5;27;Nintendo DS
Aliens: Infestation;6;4.5;6.5;6;Nintendo DS
Brain Age: Train Your Brain in Minutes a Day!;0.7833333333333333;1;1;0.9666666666666667;Nintendo DS
CrossworDS;;17;;17;Nintendo DS
Daigasso! Band Brothers;12.5;20;;16;Nintendo DS
Dragon Quest Wars;0.6833333333333333;;;0.6833333333333333;Nintendo DS
Drawn to Life: The Next Chapter;12.5;;;12.5;Nintendo DS
Electroplankton;0.4;;0.5;0.45;Nintendo DS
Final Fantasy IV Advance;28;30.5;37.5;30.5;Nintendo DS
Final Fantasy Legend II;17.5;16;74;23.5;Nintendo DS
Final Fantasy V Advance;33;38.5;67;39;Nintendo DS
Heroes of Mana;;;37;37;Nintendo DS
Ivy the Kiwi?;5.5;;;5.5;Nintendo DS
Kirby Super Star Ultra;5;9;12;9.5;Nintendo DS
Kirby: Squeak Squad;4;5.5;6;5;Nintendo DS
Knights in the Nightmare;27.5;31;;28;Nintendo DS
Learn with Pokémon: Typing Adventure;0.85;3.5;;2;Nintendo DS
Legacy of Ys: Books I & II;14.5;13.5;19;14.5;Nintendo DS
Lock's Quest;15;15;;15;Nintendo DS
Lunar: Dragon Song;20;;24.5;23;Nintendo DS
Magnetica;10;;;10;Nintendo DS
Mega Man Zero 4;2;4;16;3.5;Nintendo DS
Moero! Nekketsu Rhythm Damashii Osu! Tatakae! Ouendan 2;3;23.5;34.5;21.5;Nintendo DS
Monster Tale;7.5;9.5;10.5;8.5;Nintendo DS
MySims;7;9;;7.5;Nintendo DS
Ninja Gaiden Dragon Sword;5;6.5;;5;Nintendo DS
Pokémon Dash;1;;12;2.5;Nintendo DS
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness;20;29.5;60.5;26.5;Nintendo DS
Pokémon Ranger: Guardian Signs;22.5;21.5;27;23;Nintendo DS
Resident Evil: Deadly Silence;6.5;7;9;7;Nintendo DS
Retro Game Challenge;10.5;10.5;13.5;11;Nintendo DS
Rune Factory 2: A Fantasy Harvest Moon;;92.5;38;65;Nintendo DS
Rune Factory 3: A Fantasy Harvest Moon;17.5;28.5;47;26;Nintendo DS
Scurge: Hive;10;;;10;Nintendo DS
Sega Superstars Tennis;7.5;9;;8;Nintendo DS
Shin Megami Tensei: Devil Survivor 2;31;37.5;87.5;37.5;Nintendo DS
Sonic Classic Collection;;;;;Nintendo DS
Spectrobes;;14;26;22;Nintendo DS
Spectrobes: Beyond the Portals;24.5;36;;30;Nintendo DS
Star Wars Episode III: Revenge of the Sith;4.5;5.5;6.5;5;Nintendo DS
Super Scribblenauts;8;10.5;13;10;Nintendo DS
The Legend of Spyro: Dawn of the Dragon (Console);6;10;10;8;Nintendo DS
The Legendary Starfy;9;8.5;23.5;12;Nintendo DS
Theresia;10;;18;16.5;Nintendo DS
Touch Detective 2 1/2;6;8.5;;6;Nintendo DS
Trauma Center: Under the Knife 2;11.5;;;11.5;Nintendo DS
Zoo Keeper;5.5;;12;6;Nintendo DS
Tony Hawk's American Sk8land;;19;;19;Nintendo DS
Mighty Milky Way;3.5;6;8.5;5;Nintendo DS
Bomberman 2;;;1.5;1.5;Nintendo DS
Metroid Prime Hunters: First Hunt;;;;;Nintendo DS
Alien Hominid;2.5;;12;3.5;Nintendo DS
Avatar: The Last Airbender - The Burning Earth;6;;4;5.5;Nintendo DS
Bangai-O Spirits;8;11;20;11;Nintendo DS
Bomberman DS;;;;;Nintendo DS
Bomberman Land Touch!;15;17;;15.5;Nintendo DS
Bomberman Land Touch! 2;6;;;6;Nintendo DS
Castlevania: Circle of the Moon;10;12;19.5;11.5;Nintendo DS
Cave Story;7.5;8;9.5;8;Nintendo DS
Dementium II;5;;6.5;5.5;Nintendo DS
Dragon Quest Monsters: Joker;31.5;33;63.5;37;Nintendo DS
Etrian Odyssey II: Heroes of Lagaard;49.5;67.5;72;56;Nintendo DS
Gyakuten Kenji 2;36;;41;37;Nintendo DS
Jump Super Stars;13;14;;13.5;Nintendo DS
Lufia: Curse of the Sinistrals;16;;32;17;Nintendo DS
Lux-Pain;18;16.5;17;17.5;Nintendo DS
Mega Man Zero 3;2;3;13;3;Nintendo DS
Mega Man Zero Collection;45;;;;Nintendo DS
Metroid Prime Pinball;3.5;5;7;5;Nintendo DS
Naruto: Path of the Ninja;14;22;25;21;Nintendo DS
Pac-Pix;5;;;5;Nintendo DS
Phantasy Star Ø;15.5;45;;18;Nintendo DS
Pokémon Conquest;13;23.5;68.5;17;Nintendo DS
Pokémon Ranger;12.5;15;30;15.5;Nintendo DS
Pokémon Trozei!;3;;;3;Nintendo DS
Puzzle Quest: Galactrix;15;19.5;20;18;Nintendo DS
Rock Band 3;9.5;26;102;25;Nintendo DS
Sonic Chronicles: The Dark Brotherhood;11.5;19;22;16.5;Nintendo DS
Sonic Rush;5;9.5;14.5;7;Nintendo DS
Star Fox Command;3.5;6.5;;4;Nintendo DS
Super Monkey Ball Touch & Roll;0.5;3.5;;1;Nintendo DS
The Urbz: Sims in the City;15;12.5;;14;Nintendo DS
The Wizard of Oz: Beyond the Yellow Brick Road;21.5;;;21.5;Nintendo DS
Trauma Center: Under the Knife;8;12.5;8;8.5;Nintendo DS
Valkyrie Profile: Covenant of the Plume;14;25;52;22.5;Nintendo DS
Wario: Master of Disguise;8.5;15;;10.5;Nintendo DS
WarioWare, Inc.: Mega Microgames!;2.5;3.5;12.5;4;Nintendo DS
WarioWare: Touched!;2;3.5;6.5;3.5;Nintendo DS
Fossil Fighters;42.5;45;100;54;Nintendo DS
Code Lyoko;6;10;;8;Nintendo DS
4 Elements;8.5;7;9.5;9;Nintendo DS
7th Dragon;34.5;55;81;56;Nintendo DS
A Witch's Tale;;16;22.5;19.5;Nintendo DS
Anno 1701: Dawn of Discovery;17;;;17;Nintendo DS
Anonymous Notes Chapter 1 - From The Abyss;0.5666666666666667;;2;1.5;Nintendo DS
Asphalt: Urban GT;10;;11.5;11;Nintendo DS
Atelier Annie: Alchemists of Sera Island;14.5;22;45;21;Nintendo DS
Aura-Aura Climber;1;2.5;;2.5;Nintendo DS
Big Bang Mini;6;8.5;12;8;Nintendo DS
Big Brain Academy;5.5;9;15.5;11.5;Nintendo DS
Black Sigil: Blade of the Exiled;20;25;36.5;26.5;Nintendo DS
Bleach: The Blade of Fate;4.5;20;35.5;12.5;Nintendo DS
Blue Dragon Plus;14.5;19;;15;Nintendo DS
Blue Dragon: Awakened Shadow;21;25.5;;23.5;Nintendo DS
Bomberman Blitz;;;38;38;Nintendo DS
Brain Age 2: More Training in Minutes a Day!;1;19;1;14.5;Nintendo DS
Brothers in Arms DS;5;9;;5.5;Nintendo DS
Call of Duty: Modern Warfare 3 - Defiance;5;10;16.5;8.5;Nintendo DS
Cate West: The Vanishing Files;10.5;;7;9;Nintendo DS
Chibi-Robo!: Park Patrol;10;30;20.5;18;Nintendo DS
Children of Mana;16.5;26.5;25;22.5;Nintendo DS
Clubhouse Games;;;20;20;Nintendo DS
Contact;12;22.5;22;15.5;Nintendo DS
Cooking Mama 2: Dinner with Friends;5.5;;;5.5;Nintendo DS
Dementium: The Ward;4;;4.5;4;Nintendo DS
Digimon World DS;23;36.5;37;31.5;Nintendo DS
DK Jungle Climber;6;;11;7;Nintendo DS
Dr. Mario Express;7;;20;13.5;Nintendo DS
Draglade;4;7.5;;4.5;Nintendo DS
Dragon Ball Z: Supersonic Warriors 2;15;14;14.5;15;Nintendo DS
Elite Beat Agents;4;4.5;35;8;Nintendo DS
Escapee GO!;;;;;Nintendo DS
Etrian Odyssey III: The Drowned City;46.5;65.5;92.5;62.5;Nintendo DS
Feel the Magic: XY/XX;3;3;;3;Nintendo DS
Fossil Fighters: Champions;34;;;34;Nintendo DS
Foster's Home for Imaginary Friends: Imagination Invaders;1;;2;2;Nintendo DS
From the Abyss;5;;19;6.5;Nintendo DS
Fullmetal Alchemist: Dual Sympathy;15;;;15;Nintendo DS
Guilty Gear Dust Strikers;0.31666666666666665;;;0.31666666666666665;Nintendo DS
Guitar Hero On Tour: Decades;2;;20;11;Nintendo DS
Guitar Hero: On Tour;2;;23;12.5;Nintendo DS
Harry Potter and the Goblet of Fire;7.5;15;15;10.5;Nintendo DS
Harvest Moon DS;45.5;69;75;66;Nintendo DS
Harvest Moon DS Cute;15;;;15;Nintendo DS
Harvest Moon DS: Island of Happiness;;43;;43;Nintendo DS
Hero's Saga Laevatein Tactics;18.5;;29;20.5;Nintendo DS
Hidden Mysteries: Vampire Secrets;3.5;;;3.5;Nintendo DS
Inazuma Eleven;21;27;31.5;22;Nintendo DS
Inazuma Eleven 3: Challenge to the World;25.5;48;60;34.5;Nintendo DS
Izuna 2: The Unemployed Ninja Returns;13;;;13;Nintendo DS
Jake Hunter Detective Story: Memories of the Past;;;15;15;Nintendo DS
Jake Hunter: Detective Chronicles;;;6;6;Nintendo DS
Last Window: The Secret of Cape West;14.5;13;15.5;15;Nintendo DS
LifeSigns: Surgical Unit;;;;;Nintendo DS
Lunar Knights;12;27.5;26;18;Nintendo DS
Mega Man ZX;9.5;12;13.5;11.5;Nintendo DS
Meteos;8;21;24;15.5;Nintendo DS
Mighty Flip Champs!;;6;;6;Nintendo DS
Moon;5;7;;6;Nintendo DS
My World, My Way;;23.5;29;24.5;Nintendo DS
Mystery Case Files: MillionHeir;8.5;7;;7.5;Nintendo DS
Nanostray 2;3;;;3;Nintendo DS
Naruto: Ninja Council 3;;17;21;19;Nintendo DS
Naruto: Path of the Ninja 2;8;;23.5;13.5;Nintendo DS
Ninjatown;14.5;20;15.5;15.5;Nintendo DS
Nostalgia;26;28.5;45.5;32;Nintendo DS
Orcs & Elves;5;;6.5;5;Nintendo DS
Picross DS;39;30;52.5;43;Nintendo DS
Pokémon + Nobunaga no Yabou;13.5;;55;34.5;Nintendo DS
Pokémon Ranger: Shadows of Almia;21;21;39;27.5;Nintendo DS
Prince of Persia: The Fallen King;7;8;;7;Nintendo DS
Puyo Pop Fever;2;4;;2;Nintendo DS
Puyo Puyo 7;;;27;27;Nintendo DS
Puyo Puyo! 15th Anniversary;;;47;47;Nintendo DS
Ragnarok DS;18;35;;26.5;Nintendo DS
Rhapsody: A Musical Adventure;9.5;12;11;10;Nintendo DS
Ridge Racer 3D;15;18;15;15;Nintendo DS
Robocalypse;8;;;8;Nintendo DS
Rune Factory: A Fantasy Harvest Moon;29;41;49;41;Nintendo DS
Solatorobo: Red The Hunter;19;21.5;31;22.5;Nintendo DS
Soma Bringer;30;28.5;53;31;Nintendo DS
Sonic Rush Adventure;6;8;11.5;8.5;Nintendo DS
Space Bust-a-Move;1;;;1;Nintendo DS
Space Invaders Extreme 2;6;;;6;Nintendo DS
Sprung;;;18;18;Nintendo DS
Spyro: Shadow Legacy;1;;;1;Nintendo DS
Star Wars: The Clone Wars - Jedi Alliance;5;;;5;Nintendo DS
Style Savvy;17.5;100;;32.5;Nintendo DS
Suikoden Tierkreis;44.5;44.5;56;48;Nintendo DS
Super Robot Taisen K;35;40;;37.5;Nintendo DS
Super Robot Taisen OG Saga: Endless Frontier;34.5;39;36;36;Nintendo DS
Tales of the Tempest;11.5;16.5;;12.5;Nintendo DS
Tetris Party Deluxe;;;34;34;Nintendo DS
The Legend of Spyro: A New Beginning;7;;12;7.5;Nintendo DS
The Legend of Spyro: The Eternal Night;6.5;;;6.5;Nintendo DS
The Simpsons Game (Nintendo DS);3;;4;3.5;Nintendo DS
Thor: God of Thunder;4.5;6;6;5;Nintendo DS
Time Hollow;6;7;17.5;8;Nintendo DS
Tokimeki Memorial: Girl's Side 1st Love Plus;;;79;79;Nintendo DS
Tokyo Beat Down;6;;;6;Nintendo DS
Touch Detective;6;7.5;11;6.5;Nintendo DS
TrackMania DS;1.5;;4.5;3;Nintendo DS
