x,sentiment
"It feels as though its only going to go in one direction, and it ain't good. Very insightful read! @IanDunt #Brexit https://t.co/noYwHf7avU",0
"#Brexit means... same old same old, austerity for longer.
A Brexit betrayal is coming ‰ÛÒ but who will get the blame? https://t.co/ZDITfQ55zc",0
An interesting read- will UK's impressive track record in scientific excellence hold after #brexit?‰Û_ https://t.co/UbCeegttcq,0
European Union Committee - #Brexit: #UK-#Irish relations https://t.co/GHJPM0NszY,-1
"#Chancellor favours ‰ÛÏinterim‰Ûù #Brexit deal.
https://t.co/ywn1Z4JZo8",-1
"The god's mortal heroine, Ann, is egregiously late for work this morning.... (I am blaming the @victorialine and #Brexit....",-1
"Preserve existing EU students' rights post-#Brexit, urges @UKCISA https://t.co/O4YQ33Grzx #WeAreInternational",-1
how will the changing political and economic climate affect the real estate market? https://t.co/dboMKPrxoI‰Û_ https://t.co/liUUeDUque,-1
"""#Brexit requires compromise between sovereignty &amp; liberalising trade"", report. https://t.co/2WqGoWWzC1 #TheresaMay",-1
Carpetright blames post Brexit fall in the pound for dismal FH results. ’Ê_’áÂ’Ê_’á_#Carpetright#Retail #Brexit https://t.co/iyWOz8evO3 via @BBCNews,0
"#Brexit means... higher prices as inflation takes off
Inflation hits highest level in more than two years https://t.co/oJB1IYL3oD",0
"Post-#Brexit transitional deal would be ‰ÛÏgenerally helpful,‰Ûù says Chancellor https://t.co/29sXpjfYix via @OpenEurope",-1
Why are #ChildRights so important in the context of #brexit? Take a look at @UNICEF_uk's blog for @EHRCScotland:‰Û_ https://t.co/ioxeNIuViG,-1
I think we should have a #Brexit referendum where the choice is between  1. Brexit 2. Red white and blue Brexit 3. Leather trousers.,-1
"Tube was delayed 10 minutes. But the train was delayed 15, so I still made it. Got that going for me. I blame #Brexit",0
What are the advantages of trading food and drink outside of the EU? https://t.co/3I5cDD7nC8 #FoodAndDrink #Brexit https://t.co/4nWwTMkRmu,-1
What does Trump mean for renewable energy? https://t.co/8tz7wRWLkX #Brexit #China # https://t.co/cBy8sfQUXk,-1
#brexit has been named Collins Word of the #year2016 https://t.co/2LWKkRS4x4 https://t.co/fUwKajnbxc,-1
Dear TM #brexit is colossal waste of effort with diaster at the end. Could you make the trains run on time instead?,-1
What can we learn from Brexit and Trump? https://t.co/JTefUnMhJP #Trumo #Brexit #EU #Clinton https://t.co/5ICC5KA2iT,-1
"Is ""naive"" just another way of saying ""stupid""?
#Brexit 
https://t.co/I7ehTKBUeu",-1
#UK House Price Index (HPI) for October 2016 via @LandRegGov https://t.co/yVWk4VyZlX #property #London #Brexit #GBP #EuRef,-1
Will UK loose sense of European-ness despite what they say? #Brexit #culture @euniclondon @Marie_Proffit https://t.co/peoXepN4Ni,0
What‰Ûªs to come of #EU law on data privacy &amp; cyber security post #Brexit? https://t.co/8BuLk8a0mX https://t.co/8COq63LVHS,-1
My favourite yogurt Skyr has been discontinued by @sainsburys . Is this #Brexit or am I getting paranoid.,0
"#EU Wants #Brexit Talks 'As Quickly As Possible'.
Lets trigger article 50 ASAP and get this show on the road.
https://t.co/5R88FcjQvU",1
How will #Brexit affect the world of law? Ask @TRLegalUKI your questions and the best will get a video response!‰Û_ https://t.co/qLOgwxmYmo,-1
UK households are top spenders in Europe easing Brexit woes but savings low - PwC. ’Ê_’áÂ’Ê_’á_#UKeconomy #Brexit  https://t.co/Z9CcE0rj0S,0
Asos Boosts U.K. Sourcing After Pound‰Ûªs Brexit Fall https://t.co/sOMyhpjjLl #Retail #Asos #Economy #UK #Brexit,-1
@dancludlow How come @theresa_may slaps down anyone  an INCH off message but Remainer Hammond can call 4 soft #Brexit!  Something v wrong.,-1
"#Brexit will fail - the sooner MPs halt it the less the damage -
https://t.co/jkKHvAyee7",0
"From Trump to Brexit, power has leaked from cities to the countryside
https://t.co/lf4yqxZhXV #BorisJohnson #teresamay #DOOMSDAY #brexit",-1
Ireland/UK need ‰Û÷unique solution‰Ûª to protect post-#Brexit farm trade https://t.co/XguhETwRoE #meat #dairy,-1
"U.K. Inflation Accelerates to Highest in More Than Two Years
https://t.co/eqUJUMxn25
via @jillianfward
#brexit‰Û_ https://t.co/iapkSXtB5j",0
"I like @nfergus, but after this #Brexit reversal hard to see why his political views should be trusted in future‰Û_ https://t.co/gAUSHLg6pI",-1
"Even before #Brexit, London lost its leadership in one key market: #derivatives trading https://t.co/2LpjyStQZt via @business",0
"Read @JoelleGrogan's thoughts on #Brexit, the judiciary and the royal prerogative in today's @guardian letters https://t.co/SVWExHLNY1",-1
@spayrechaynge @AngieMeader @CloughOlive they can't afford to be similarly weak on #Brexit &amp; give the Tories another blank cheque.,-1
"EU citizenship deal for British nationals has no chance, say experts | UK news | The Guardian #brexit #Regrexit  https://t.co/ZFgHhlnofO",-1
"""Patient safety, public health and workforce supply must not be adversely affected."" Our statement on #Brexit:‰Û_ https://t.co/ClsIJPifwa",-1
Creative constitutional brainstorming on #Brexit https://t.co/mxGaw7I6Es,-1
Majority of #FTICSABellwether respondents not thinking about moving their business from the #UK to #EU after‰Û_ https://t.co/YjmihvxKBx,-1
We hosted Parliament's @CommonsEd recently for a roundtable #Brexit discussion with students / staff:‰Û_ https://t.co/ipXZakeMfo,-1
Definitely nothing to do with #Brexit. Must be Remainers talking up inflation. Next we'll be talking up job losses.‰Û_ https://t.co/xfLpVWtIqE,1
"@MarkJSmithonMSN @PJDunleavy @JohnRentoul @ProfTimBale So as I believe #Brexit is not a mistake, I have a duty to fight for it? Thanks.",1
A #Brexit betrayal is coming ‰ÛÒ but who will get the blame? Via  @chakrabortty @guardian: https://t.co/ooNK3sEqrj,0
"Any1 watching SKY, they R trying to panic U becos want to REMAIN. Get kickbacks from EU! PANICKING U. Do not believe!. @borisjohnson #Brexit",0
"Is a long, transitional soft #Brexit on the cards? Is @PHammondMP's position the official @GOVUK position? https://t.co/QJcAZpzLV5",-1
So this is how it works... #BrexitBritain #Brexit https://t.co/46G0jrafeZ,-1
Hammond calls for 'soft #Brexit' taking 4 years - warns against 'serious side effects' if no interim deal @Telegraph https://t.co/fHsd8blWqj,0
Inflation highest in two years. Nothing to do with #brexit. Shut up you #remoaners,1
"""Holidays, equal pay #Brexit threatens these rights. We are fighting to keep them @IWGB_CLB @MoyerLee @Nicolas_Colin https://t.co/SMG38v7h51",0
'Chairs opposite UK are empty' as EU elections cloud #Brexit #fund #passporting negotiations https://t.co/YKWGN97RSx,-1
"#UK naive to expect easy ride in #Brexit trade talks, says #Lords report https://t.co/VOw1r9IkYz",-1
"every time #Brexit suffers a setback, the å£ goes up. Only way to stop UK impoverishment, stay in EU https://t.co/xmP4BR97QU",0
Breakfast on #brexit with former prime minister G Persson at Ambassador's residence https://t.co/j9D8ZdTzlO,-1
European Parliament briefing on the impact of #Brexit on the #financial services industry https://t.co/ec1bUIaKq0‰Û_ https://t.co/MVpH9vHtwj,-1
"#Brexit, #technology #automation &amp; #ageingpopulation bringing huge changes so #taxes and #benefits need overhaul
https://t.co/yvjnHiLMGX",0
"Even before #Brexit, London lost its leadership in one key market: #derivatives trading https://t.co/Av5JDhus31 via @business",0
"Some more #brexit wind up
 https://t.co/0OIdD5rkPy",-1
House of Lords report is absolutely scathing about UK govt's misunderstanding of trade &amp; #Brexit https://t.co/bRPObDDDBP,-1
#BREXIT BOOST: #HousePrices strongest since #April as low supply pushes up values. https://t.co/6Fcp98v7pW‰Û_ https://t.co/a5yrPv9isg,-1
"'Take back control' Of what? Our infrastructure, for example? Fat chance. #Brexit #BrokenBritain https://t.co/PXxfnkfTWD",0
#Infrastructure spending to alleviate #Brexit causes rise (skilled) immigration &amp; wage inflation. Bricklayers @ å£50k https://t.co/A0YCOk2bKI,-1
The latest The Lewisham Dreamer Daily! https://t.co/3S4uJ7yld1 Thanks to @SpannerDaniel @JohnCassaday @WillMcAvoyACN #meatfreemonday #brexit,-1
The UK has just one year to negotiate #Brexit terms. https://t.co/pDThx596eo,-1
#Brexit impact on energy&gt;danger it will create more confusion for investors on top of existing policy incoherence @PRCA_UK @LinstockOnline,0
Regulators in #France announce measures designed to woo British businesses looking for European base after #Brexit https://t.co/f2QcZxMoHp,0
"2017 #Brexit business readiness strategy checklist: 41 questions, 18 economic indicators, 5 scenarios‰Û_ https://t.co/oFwy5BI8cD",-1
"@unslugged Don't be vague. What do you mean by ""stronger""? Specify then we can discuss. #brexit",-1
"#UK naive to expect easy ride in #Brexit #trade talks, says Lords report.
https://t.co/2q85uXwolO
Sad state of affairs. #economy #EU",0
Time to move on from Remoaning and rifts: we‰Ûªre all Eurosceptics now says @AllisterHeath #brexit https://t.co/3cB09tTekL,1
KPMG cautions CEOs against ignoring GDPR requirements because of #Brexit https://t.co/f1P0I1VZS8,-1
UK must set out plans for transitional deal with #EU - peers https://t.co/qbv4RUEZ8p via @ReutersUK #brexit #eurocrisis #UK #growth #trade,-1
'What happens when 17 million people get the feeling they‰Ûªve been cheated? ' asks @chakrabortty #Brexit  https://t.co/UC0pJciivy,0
Let's talk #Brexit and #culture - open space style. Got a burning question? Tweet us! https://t.co/xYq2YrLGQI,-1
Impressive leadership by @Keir_Starmer on @UKLabour #Brexit plans. Recognising the need for a collaborative approach to negotiations,-1
Cost of #Christmas rises with #Brexit expected to hit #inflation https://t.co/FQt6WiXiD8 #prices #pay #interestrates #growth,0
The UK won‰Ûªt easily find post-Brexit trade partners in the Commonwealth: https://t.co/DcgZri4H85  #brexitshambles #brexit,-1
LI's @ShankerASingham outlines the opportunities that #Brexit can bring whilst recognising the concerns via @CapX https://t.co/ZfabNVSahQ,-1
An intriguing era in #International Relations and Global #Politics #brexit  #USA #Russia #China #TheGambia #Italy #France @JMFLeadership,-1
"Even before #Brexit, London lost its leadership in one key market: derivatives trading https://t.co/wysO71zWiG‰Û_ https://t.co/RjNUYc2Fuy",0
I work at HMRC and am making changes documents to make #Brexit payers pay for the cost of leaving the EU @hrtbps https://t.co/UMlu2k4pj7,0
"""The business as usual"" approach taken by #Firms following #Brexit, has helped to boost #UK growth this year ’Ê_’_ö
https://t.co/hPPi0V7g9I",1
Register Now =&gt; 'Business and Trade after #Brexit': panel event in London tomorrow (14 Dec) afternoon https://t.co/Xjj0s0ZlqD / @UCL_EI,-1
For anyone looking for a more thorough introduction to the various post-#Brexit trade options - here's the‰Û_ https://t.co/4kILbsTktG,-1
Our own Clive Moffatt discusses the impact of #Brexit on U.K. Energy Policy with @Robin_Pag https://t.co/KnAYb9sH94,-1
"UK must set out plans for transitional deal with EU, says Lords committee https://t.co/eP9iVY4sQ9 #brexit",-1
Cost of #Christmas rises with #Brexit expected to hit #inflation... Guess I better get shopping before it goes up https://t.co/dB5gw4WXeD,0
https://t.co/7PP2MzWV6y ‰Û_  @borisJohnson throws #Blair off the gravy train! #borisjohnson #boris johnson #Brexit‰Û_ https://t.co/gdEnTfUg9j,-1
"More political insight, tailored for your needs in the New Year, on our website! https://t.co/s6MV2BkmyN #Brexit‰Û_ https://t.co/elx1JTiwon",-1
My latest for @HuffPostUKPol - #brexit #devolution and #fairvotes. What a cocktail! https://t.co/3tMvhfRVWH @electoralreform @kezdugdale,-1
"In #LordsQs at 2.30:
1. #Brexit negotiations
2. #refugeechildren
3. #EUcitizenship
4. UK in #OECDPISA
See more https://t.co/6FP5v3dFfu",-1
Wonderful solution to a very #Brexit mess by @McCauleyLondon https://t.co/3Lr7vHPJbO,-1
Hiring confidence at highest in more than two years post #Brexit vote: https://t.co/ERHNUMmHBG via @Telegraph,-1
"‰ÛÏWhat happens when 17 million people get the feeling they‰Ûªve been cheated?‰Ûù
A #Brexit betrayal is coming:
https://t.co/dFMq9t7INn",0
Thousands of people doing good things in a #Brexit #Trump world #adoption https://t.co/9SmvJlU26V,0
How might #Brexit impact UK/EU #AML [AUDIO] https://t.co/vXWhlbkJAX,-1
As you read 2017 predictions frm comfort of your own echo chamber; consider how certain you were #Trump #brexit ‰Û_  https://t.co/tcJsqure4m,-1
Of course there is‰Û_.#brexit https://t.co/q3VX74Ib3P,-1
"A #Brexit betrayal is coming ‰ÛÒ but who will get the blame?
https://t.co/bQhOxRDcaA",0
Glad to be at @PRCA_UK event &gt; Will #Brexit take the power out of UK energy? With Robin Pagnamenta of @thetimes @LinstockOnline,-1
"#EU27 leaders meet in Brussels tonight to make plans for #Brexit negotiations:
https://t.co/bf0IrWhjXj",-1
"Things I blame on #JeremyCorbyn :
#Brexit
#DonaldTrump 
#southernstrike 
#HoneyG
#XFactor2016",0
"So much for #takebackcontrol: chilling #brexit piece by @chakrabortty but, practically, what can individuals now do? https://t.co/0ienERq5TW",-1
"Excellent piece by @RorySmith on Pep and the English exceptionalism in the Premiership. #brexit
 https://t.co/uQvgwGMzWe",-1
When will Brexit become official? - 1/2 2019; 5/2 2020 or later; 5/1 2018 or earlier. #brexit  https://t.co/VV7RCQQlCb,-1
"#GBP remains a #Brexit barometer above all, but #CPI at 9.30am could provide some new direction with key crosses currently stuck mid-range",-1
"If #brexit voters ignoring official forecasts was uneducated what is #MP's ignoring Carney's #automation forecasts?
https://t.co/s1HpDaCQze",0
"UK PM May hopes to delay Article 50 long enough that she won't be in power to deal with it - ""temporary deal lookin‰Û_ https://t.co/UTZMQvMrH6",-1
@RobertsDan nostalgia is a potent tool in leave's #brexit armoury. I am hoping you will be able to dissect its appeal in the coming weeks.,-1
"Read all today's #Brexit news at @BrexitCentral, including Philip Hammond's public musing about a transitional deal https://t.co/QsOvHjRAAy",-1
The impact of #Brexit on #Fintech in the #UK - https://t.co/SkMv9800cB #tech #insurtech #payments #bitcoin #blockchain #startups #startup,-1
"@RobBurl think #Brexit/#Trump et al may also have something to do with it, though we have #lepen2017 to look forward to ’Ê_’üÓ",-1
This has just been named best 2016 #Christmas cracker #joke.... #brexit https://t.co/OOr7Aq2bI6,-1
No one has time for DELAYS #southernstrike #greateranglia so why is @PHammondMP proposing to slow down #Brexit? https://t.co/vIBFCZHN1L,-1
@XnTree 's very own #wookie discusses #brexit and global expansion. https://t.co/EEPS1gRV7K,-1
@XnTree 's very own #wookie discusses #brexit and global expansion. https://t.co/WFwti8b5Ul,-1
"Suddenly,  #Brexit is going to take longer than we've been led to believe! https://t.co/RtJxGk0kGZ",-1
At @UKLabour business #Brexit breakfast @Keir_Starmer describes the risk of hard Brexit by accident or design,0
"My favourite cafÌ© near work no longer serves ciabatta. If this is in any way #Brexit-related, I want a second referendum. #EndOfCivilisation",0
Wheels start coming off as reality sets in #brexit https://t.co/jBGSjkpuXE,0
#Brexit disaster or opportunity? Nobody knows for sure yet but #London looks to make the most from it:‰Û_ https://t.co/gib06RGE2k,-1
"Well someone had to say it! - #UK naive to expect easy ride in #Brexit #trade talks, says Lords report
https://t.co/KwXP11lrGt",-1
"When the French say ""les absents ont toujours torts"", they don't mean it with forgiveness. #Brexit https://t.co/nrYLEfprst",-1
Looking forward to discussing international agenda for culture in UK post #Brexit w/ some of Visiting Arts valued n‰Û_ https://t.co/dvKyZ9rWa3,-1
".@guardian #opinion: From #Trump to #Brexit, power has leaked from #cities to the countryside https://t.co/UmxDP2ttu2 #Tuesday #politics",-1
@LordsEUCom: #Brexit requires compromise btw sovereignty and liberalising trade &amp; #EEA is the least disruptive opti‰Û_ https://t.co/KOBvQxmt7W,-1
"Say clear plan for transitional arrangement needed  #Brexit: 'Clear plan' for interim deal needed, say peers https://t.co/lElF7TJ5Jb",-1
What should the UK's Industrial Strategy look like? 4 leading industrialists considered it https://t.co/za5N1dCpOp #brexit,-1
A bid to crowdfund a new legal challenge to #Brexit has been successful https://t.co/lobrriqGx2,-1
The strange death of UK Labour https://t.co/uUBTc5Cs4x #Brexit #LibDems #Labour #UKIP #Politics,-1
@PHammondMP wants to DELAY #Brexit with an interim trade deal to cushion the harsh impact because of 'risks to fina‰Û_ https://t.co/ZwPrIY1bnJ,-1
"A win, loss or draw for her #Brexit plan? Jury out on Theresa May's week https://t.co/JWK1XeYItW",-1
"Only #England and #Wales voted for #Brexit, so THEY should leave #UK (&amp; #EU), and #Scotland and #NIreland stay in https://t.co/NHjxnnLGIx",0
Govts don't dictate terms of trade agreements - they are a negotiation of two parties. A consensus!  @BBCRadio4 @iccwboUK #brexit,-1
A #Brexit betrayal is coming ‰ÛÒ but who will get the blame? | Aditya Chakrabortty https://t.co/bI82TDSWPo,0
"what they are saying, ever-so politely, is that the UK gov is utterly clueless, has no plan, and is leading the cou‰Û_ https://t.co/sCAfMiNgFB",0
"Peter Lilley claims that negotiation is pointless, cos you can get the same result immediately. Hope he's not in charge.  #Brexit #r4today",-1
#Brexit report: House of Lords warns about government 'misunderstanding' of free trade ‰ÛÒ @guardian #TopStories https://t.co/bMxU6gkKzd,-1
"Sensible, constructive stuff from @Anna_Soubry on a transitional arrangement for #BREXIT on @BBCr4today",-1
Early morning meeting in this part of #London discussing impact of #BREXIT on Youth Travel @ Big‰Û_ https://t.co/yup6cLN9dR,-1
"Hammond: allow longer than 2 yrs for #Brexit. 1 of 5 things you need to know today, in a 70 sec #podcast&gt;‰Û_ https://t.co/DtYV75N3UD",-1
Need for transition now accepted. Next up - what about regs agreed after we leave the EU when still in transition #brexit,1
"UK naive to expect easy ride in #Brexit trade talks, says Lords report https://t.co/4wRNRnW5jK",0
London loses top derivatives centre status to New York #brexit #london #newyork #derivatives https://t.co/2fPGtAdUWZ,0
Rise up Albion and shake off these Brexit fools and scoundrels. #Brexit #Remain #48andbeyond https://t.co/Yr4jAOTi0r,0
@BBCr4today discusses new EU Cmttee report on the options for trade post- #Brexit at 7.50: https://t.co/u1RbQrZeYY,-1
Can someone explain why it takes a group of people 2 years to come to a trade agreement? I'll do it in 20mins over a brew #brexit,-1
The latest The Criminal Bar Daily! https://t.co/gTrVNmD79A Thanks to @lawteacher @acio999 @James_Treadwell #brexit #legal,-1
"No trains @greateranglia Cambs/Lon for 2,5h hs + @SouthernRailUK = #brexit alone can't make it better...",0
"@Essexdb You may think you ""won"" the #EURef but if #Brexit is implemented the country loses big time. @EggySoldier @proremain @ProEuropa_GB",0
and how glorious it will be. ’Ê_’üÛ #stopbrexit . #brexit has already been revealed as basically impossible. just a matt‰Û_ https://t.co/F1OKo9eaZN,0
What does the UK leaving Europe mean... https://t.co/42qwIY6Obx #Brexit,-1
"Be careful how you entertain strangers #Brexit #Trumpists
you all better watch out! https://t.co/1KBYMp7Nl9",-1
"Stop saying 'since #brexit' or 'despite Brexit the economy is doing ok', @bbcfivelive ‰ÛÒ we HAVE NOT LEFT THE EU!",0
"No, woman on @bbcfivelive, #brexit HASN'T HAPPENED YET!!!",-1
"Interesting comments on #Brexit from a leading academic that make you think about Britain's ""EU divorce"". https://t.co/506YCAm4km  #Ipsos",-1
UK and London market gear up to make the best of Brexit https://t.co/tM47Nj5gJ3 @insurance_day #brexit #insurance #reinsurance,-1
#NewAlanBennettMonologues Mam has been doing the No Brussels #Brexit joke since Nigel Farage pulled one off in a farmer's field.,-1
#Brexit: Did it damage or enhance #Britain's prestige in the world? We ask an economist https://t.co/Gz35Vmqn4E?,-1
Could Trump boost UK property prices where Brexit couldn‰Ûªt? https://t.co/Hffd7ZSyJ5 #Trump #Brexit #Property,-1
On @BrexitCentral today @FSNForum's @rich_ayres says the Govt should startåÊnegotiating the #Brexit negotiation now https://t.co/23fLsIAfZz,-1
"https://t.co/Lo0rk4U6v3
Migration WAS the key issue for #Brexit voters in EU referendum (And #LibLabCon will NEVER do a damn thing about it)",-1
"#EU leaders will meet to talk #Brexit without the #UK
https://t.co/sSgBfqWr6P",-1
"Draft: #EU leaders will talk #Brexit without the #UK &amp; #Syrian, #Russian forces near control of #Aleppo #DaybreakEurope news @BloombergRadio",-1
Chancellor Hammond demonstrating again how out of his depth he is. Another puppet of his City paymasters #Brexit https://t.co/RxUkoncKHV,-1
"The enemy within.
Philip Hammond calls for 'soft #Brexit' taking four yearsåÊ https://t.co/k1xGhLETOy via @telegraphnews",-1
Labor must fight battle of our times over hard #Brexit - Keir Starmer https://t.co/MQET8uXgS4,0
"If there were a General Election tomorrow, who would you vote for? #marr #bbcdp #PMQs #bbcqt #Brexit #Peston #bbctw",-1
"@Essexdb Same meaningless twaddle as ""#Brexit means #Brexit"". Yours is an undefined position. @EggySoldier @proremain @ProEuropa_GB",1
Can you make a shit sandwich sound like a  three course meal in a Michelin star restaurant? https://t.co/d1OBllfcae #Brexit,-1
"#UK Chancellor speaks of need for #Brexit transition deal. Gov slowly softening stance on leaving #EU, just as neighbours toughen theirs",-1
Why trust #experts when you can listen to a serial killer in a psychiatric ward. #Brexit https://t.co/niEoAWnAW3,-1
"""A devastating loss in competitiveness"" under almost any form of #Brexit - as warned by @TheIFS and @CEP_LSE https://t.co/Nyrbx2wQdz",0
#Brexit wins again. https://t.co/DYcdLgSIqt,1
"UK naive to expect easy ride in Brexit trade talks, says Lords report | #projectremain #brexit #eu #politics #soft https://t.co/qKbkGaBymF",0
"@PJTheEconomist writes in @thetimes about the possibilities of #taxreform that #brexit now provides
https://t.co/jCbmIntcDG
#tax #finance",-1
"How many jobs lost, lives wrecked for no benefit? #brexit https://t.co/ZmsH7CFG4L",0
Devastating proof #Brexit will leave Britain with worse deal which is subject to WTO or EU rules #TakingBackControl  https://t.co/0lW6QJsOSP,0
Spain‰Ûªs financial watchdog eyes wooing London business to Madrid https://t.co/cHVGNYzlAh via @FT. #brexit #fintech #banking,0
"Hammond's really not into this #Brexit malarkey innit 
https://t.co/dOCnzPUvsu",0
@hunterswogg This is how I felt after #Brexit. I started laughing at everyone who voted #Remain,1
Trump Kisses the British #Brexit baby https://t.co/HZdb7XEaSX,-1
@LawlessPirate This is just the establishment panicking. They said people who voted #Brexit regretted it. It's all bollocks.,1
Time to start planning for the #EU's collapse... https://t.co/0G3w128CGu #brexit,0
UK Column News Thursday 3rd Nov 2016 https://t.co/yMnaLH5xGz #brexit #melanie #shaw #VIP #child #abuse #UKIP,-1
@FoxNews @MortimersHole @KatrinaPierson Familiar to those who voted for #Brexit in the UK. Some people respect democracy only if they win,0
".@EHRC calls UK's politicians on #Brexit rhetoric: racist, antiSemitic, homophobic attacks = ‰ÛÏstains on our society‰Ûù https://t.co/360kzNlP0T",0
"#EU Calls for #Brexit Talks ‰Û÷Swiftly‰Ûª After Article 50, Draft Says - Bloomberg https://t.co/aYqK7CWgUG",-1
@Josh4Trump @FoxNews The left have been trying this bollocks with #brexit Its not really surprising,-1
Big cheese in the wine business says #Brexit will make wine more expensive. NOOO: https://t.co/kEPr6qZesR https://t.co/oVoLmWo8NP,0
Seems this years #xfactor result is #brexit all over again. Narrow margin for the win + calls for the other song version to be released!,-1
Last week PM said #Brexit will take 18 months. Now Hammond says 2 years +++. Brexits are all over the shop. #WhatPlan? #brexitshambles,-1
"An interim deal on #Brexit?
A free pass for #ExPats?
Sounds like our EU partners aren't too keen.
Apparently, for t‰Û_ https://t.co/jVpOrWCGTg",0
"It's clear to see that, #2016  #trump #brexit and all this other madness has completely changed the world #Tuesday https://t.co/vwcIif5upx",0
"UK naive to expect easy ride in #Brexit trade talks, says Lords report:
https://t.co/32VTbgHcz3",-1
"@cliffglaurious @SteveLawrence_ @lambandflag99 In a worst case, the EU/UK could have a severe downturn due to #brexit &amp; Trump protectionism",0
Philip Hammond calls for transition deal to ‰Û÷smooth‰Ûª #Brexit https://t.co/ydl6U5yxoZ #Business,-1
Brexit Live: #brexit #tech #timeline,-1
"Secondly, a public declaration of the 'trahison des clercs' that occurred on #Brexit. People smarter than academics‰Û_ https://t.co/8iZJ1AZYOm",-1
Lords @UKHouseofLords  #UK naive to expect easy ride in #Brexit trade talks. https://t.co/FJzV1e18Vi https://t.co/81KZ2aY9MR,-1
Hard #Brexit can be transitional &amp; in fact likely should be. Not enough time to agree FTA by Mar '19 needs WTO Art‰Û_ https://t.co/JiYzBXOHpC,0
"#Brexit Fool me once, shame on you:Fool me twice...
Defy the lie
#Remain &amp; https://t.co/JpRMFcmgap",0
#Brexit is the ‰Û÷battle of our times‰Ûª says Labour‰Ûªs @keir_starmer: https://t.co/hmKHNmVhSC,-1
That's nice there are folks already seeing the benefits: Sky will cost Rupert Murdoch $2.5bn less after #Brexit vote https://t.co/fNdaDUGj0I,0
@umfundi Funnily enough he's a pro #brexit economist. Not many of those!,-1
EU27 unlikely to agree an extension. #Brexit must happen quickly and opinions on whether Brexit is good or bad for‰Û_ https://t.co/BYGQKmHygH,-1
"New EU Cmttee report #Brexit: The options for trade, out now https://t.co/CL1RyPyQuM",-1
"And here goes your daily shot of #brexit delusion. As if the UK chose. 
Brexit - get ready for a longer process - https://t.co/XnKO4vMs8b",0
Why does @BBCNews feel need to report in detail negative views on #Brexit of every minor #EU politician we've never heard of? #irrelevant,1
#Brexit ~Treacherous #Virgin founder #RichardBranson's funding attempt to overturn #Leave majority+subvert‰Û_ https://t.co/evJwtv5TUm,-1
#Brexit ~#BoycottVirgin~ #Virgin's #RichardBranson funding #Remain #ProjectFear #EU subverting of #democracy Leave‰Û_ https://t.co/ulbnPzIuXb,0
@jimmhk Perhaps because the extreme right claimed victory not just leave voters #brexit,-1
Logical  &amp; humane recommendations on how to secure status of #EU nationals post #Brexit https://t.co/bbSmZLlb9B,-1
Download the summary of #IBDE 'Chairman's Business Briefing' on #Brexit @ https://t.co/mU2imLwGzN https://t.co/muWhVIRQjR,-1
The Norway no say was 1 mantra used that was totally wrong. They send own reps to global trade bodies. EU sends one‰Û_ https://t.co/aWSnRCdsKt,-1
Download the summary of #IBDE Chairman's Business Briefing on #Brexit https://t.co/J9e2E0eNIl https://t.co/5djizqJXah,-1
with eufunded #newsnight #victorialive #bbcnews #bbcdp supporting non British before British #brexit https://t.co/98VK28umzY,1
"As if #Brexit wasn't enough,now someone photoshops Trump's face on @Queen_UK &amp; it's terrifying https://t.co/AIYhX1dW7s  #OGTrumpQueen",0
"@T180985 @guardian You can be as disingenuous as you want, but #Farage delivered #Brexit",1
"Hard #border, hard #Brexit. Who voted for this? Preserving the special Anglo-Irish relationship https://t.co/TLnDVhlrqH via @FT",0
"#Brexit ~""#Leave campaign had no clear argument on #SingleMarket"" Pro-#EU #OpenBritain #Remain leader proved a liar! https://t.co/D4aeQdt3Nw",1
#EU nationals 'want guarantee they can stay in #UK' #Brexit https://t.co/cnWsUXan0d,-1
"#Brexit ~#NickClegg on #Article50+#SingleMarket access~ Andrew Neil destroys #Clegg: ""You're anti-#democracy"" #Leave https://t.co/lmbKSqbJMC",1
Don't think Chancellor @PHammondMP had to actually admit that the #Brexit process could take more than 2 years. Everyone knew that,-1
"@Brexit ""Brexit means #brexit"" @business https://t.co/hLc1F7dv3b",1
This feels like the longest-ever drawn-out explanation of how the shit will hit the fan 6 months after the vote happened. #brexit #skypapers,0
"#UK Chancellor urges #Brexit interim deal https://t.co/Ewj1loeHsP ~ ""Brexit means Brexit""",1
"But surely then: ""The onus, therefore, is on the Government to ensure [we remain]"" @Ed_Miliband ? #Brexit‰Û_ https://t.co/16efVQPEXc",-1
.@TheSun = Lies in the service of tax avoiding super rich owner @rupertmurdoch. Also carried #Brexit lies saving hi‰Û_ https://t.co/HLOZFKZBeJ,0
"#RsaSalon @RSAevents @johnharris1969 #Brexit avoiding ""wankie"" answers, #rupture, #referendum https://t.co/x8nEr57GMS",-1
A 'toothless' attacker asked a Tory for the time in Parliament this week. #Brexit  #Labour https://t.co/VBXdNRMtLE,-1
"Former EU commissioner Peter Mandelson's lobby group backing 3rd bid to thwart #Brexit in the courts
https://t.co/pF77TQr5rz",-1
https://t.co/gA6CUfXBUz Constitutional crisis brought on by #brexit | Letters | Politics | The Guardian,0
Most Leavers want hard #brexit from EU Comm but final divorce needs careful consideration where trade &amp; laws r conc‰Û_ https://t.co/He6nM1LDdj,-1
