"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
13,2012-07-01,"95","64","80","M","41","58","0","15","-","-"," ","M","0.02","24.21","29.76"," 9.2","16","11.9"
14,2012-07-01,"94","70","82"," 2","65","71","0","17","0519","1949"," ","0.0","0.00","28.58","29.91","11.3","17","11.1"
15,2012-07-01,"91","58","75"," 6","57","64","0","10","0410","1930"," ","0.0","0.00","29.39","29.77"," 4.1","29","4.7"
16,2012-07-01,"90","64","77","M","61","67","0","12","-","-"," ","M","0.00","29.62","29.74"," 4.3","28","6.1"
17,2012-07-01,"98","68","83","M","64","71","0","18","-","-"," ","0.0","0.00","29.28","29.95"," 6.8","18","6.8"
18,2012-07-01,"95","77","86"," 1","68","73","0","21","0523","1940"," ","0.0","  T","29.44","29.95","12.4","17","12.3"
19,2012-07-01,"84","70","77"," 7","61","67","0","12","0416","1934","HZ","0.0","0.00","29.21","29.93"," 3.8","07","5.2"
20,2012-07-01,"94","76","85","M","68","73","0","20","-","-","RA","0.0","0.06","29.25","29.94"," 8.9","16","9.2"
1,2012-07-02,"84","66","75","M","59","65","0","10","-","-"," ","M","0.00","29.70","29.86"," 3.4","32","5.4"
2,2012-07-02,"81","66","74"," 6","57","64","0"," 9","0415","1928","RA","0.0","  T","28.80","29.88"," 6.8","31","8.1"
3,2012-07-02,"97","75","86"," 4","68","73","0","21","0510","1945","TSRA","0.0","0.82","29.25","29.94","11.7","18","12.1"
4,2012-07-02,"97","76","87"," 3","68","74","0","22","0533","1937","BR","0.0","0.00","29.33","29.99"," 6.1","15","7.4"
5,2012-07-02,"M","M","M","M","M","M","M","M","0412","1924"," ","M","M","M","M","M","M","M"
6,2012-07-02,"96","74","85"," 2","69","74","0","20","0533","1936","BR","0.0","0.00","29.48","29.98"," 9.7","15","9.9"
7,2012-07-02,"93","73","83","M","65","71","0","18","-","-"," ","0.0","0.00","28.61","29.93","16.1","18","16.5"
8,2012-07-02,"95","75","M","M","68","73","M","M","-","-","BR HZ","M","0.00","29.67","M"," 5.3","16","5.6"
9,2012-07-02,"98","74","86","M","71","76","0","21","-","-","BR","M","0.00","29.05","29.80"," 7.0","17","7.7"
10,2012-07-02,"96","77","87","M","70","74","0","22","0529","1932"," ","M","  T","30.01","30.04"," 1.9","03","5.5"
11,2012-07-02,"93","72","83"," 2","72","75","0","18","0528","1933"," ","0.0","0.00","30.01","30.04"," 1.3","11","3.5"
12,2012-07-02,"91","75","83","M","71","75","0","18","-","-"," ","0.0","0.00","29.99","30.04"," 2.0","06","4.4"
13,2012-07-02,"97","65","81","M","44","59","0","16","-","-","TS","M","0.00","24.24","29.79"," 1.7","24","10.6"
14,2012-07-02,"95","72","84"," 4","65","71","0","19","0519","1949"," ","0.0","0.00","28.60","29.94","13.3","18","13.6"
15,2012-07-02,"84","61","73"," 4","58","64","0"," 8","0411","1929","RA BR HZ VCTS","0.0","0.37","29.48","29.85"," 5.6","33","6.0"
16,2012-07-02,"82","64","73","M","61","65","0"," 8","-","-"," ","M","  T","29.72","29.82"," 2.5","29","5.5"
17,2012-07-02,"97","73","85","M","68","73","0","20","-","-","RA","0.0","0.02","29.31","29.99"," 8.1","19","8.2"
18,2012-07-02,"94","78","86"," 1","68","74","0","21","0523","1940"," ","0.0","  T","29.49","29.99","11.4","17","12.0"
19,2012-07-02,"87","69","78"," 8","69","72","0","13","0417","1934"," ","0.0","0.00","29.18","29.93"," 7.0","15","8.1"
20,2012-07-02,"92","77","85","M","69","74","0","20","-","-","RA","0.0","0.02","29.29","29.99"," 7.6","17","8.3"
1,2012-07-03,"84","64","74","M","56","63","0"," 9","-","-"," ","M","0.00","29.73","29.89"," 2.4","33","4.8"
2,2012-07-03,"82","63","73"," 5","54","62","0"," 8","0416","1928"," ","0.0","0.00","28.84","29.90"," 7.1","29","8.2"
3,2012-07-03,"98","78","88"," 6","63","72","0","23","0511","1945"," ","0.0","0.00","29.20","29.90","11.8","19","12.1"
4,2012-07-03,"98","73","86"," 2","67","73","0","21","0534","1937"," ","0.0","0.00","29.29","29.96"," 4.4","16","6.2"
5,2012-07-03,"M","M","M","M","M","M","M","M","0413","1924"," ","M","M","M","M","M","M","M"
6,2012-07-03,"97","69","83"," 0","68","73","0","18","0534","1936","BCFG BR","0.0","0.00","29.45","29.96"," 8.2","15","8.6"
7,2012-07-03,"95","78","87","M","62","70","0","22","-","-"," ","0.0","0.00","28.57","29.90","16.1","18","16.6"
8,2012-07-03,"95","72","M","M","68","73","M","M","-","-","BR","M","0.00","29.64","M"," 4.7","16","4.9"
9,2012-07-03,"96","68","82","M","71","75","0","17","-","-","TSRA RA VCTS","M","0.07","29.00","29.75"," 3.4","12","6.8"
10,2012-07-03,"98","76","87","M","70","75","0","22","0529","1932","TS","M","0.00","29.99","30.02"," 4.0","22","5.8"
11,2012-07-03,"95","72","84"," 3","71","74","0","19","0529","1933","TSRA","0.0","0.29","29.98","30.02"," 2.8","25","4.4"
12,2012-07-03,"94","74","84","M","71","75","0","19","-","-"," ","0.0","0.00","29.98","30.02"," 1.6","18","4.5"
13,2012-07-03,"94","66","80","M","46","58","0","15","-","-","RA","M","  T","24.23","29.79"," 6.5","23","10.3"
14,2012-07-03,"97","76","87"," 6","62","70","0","22","0520","1949"," ","0.0","0.00","28.57","29.91","13.2","18","13.8"
15,2012-07-03,"84","54","69"," 0","56","61","0"," 4","0411","1929","FG+ BR","0.0","0.00","29.51","29.88"," 3.4","33","3.6"
16,2012-07-03,"83","64","74","M","57","63","0"," 9","-","-"," ","M","0.00","29.75","29.85"," 3.3","31","6.8"
17,2012-07-03,"101","76","89","M","61","71","0","24","-","-"," ","0.0","0.00","29.26","29.95"," 8.4","19","8.5"
18,2012-07-03,"98","78","88"," 3","63","71","0","23","0524","1939"," ","0.0","0.00","29.46","29.96","10.4","18","11.2"
19,2012-07-03,"97","73","85","14","69","74","0","20","0418","1934","TSRA","0.0","0.07","29.09","29.82"," 8.7","23","9.3"
20,2012-07-03,"96","77","87","M","64","72","0","22","-","-"," ","0.0","0.00","29.26","29.96"," 6.2","18","7.6"
1,2012-07-04,"88","67","78","M","67","70","0","13","-","-","TSRA RA BR","M","0.39","29.61","29.76"," 0.6","25","4.2"
2,2012-07-04,"85","66","76"," 8","65","69","0","11","0416","1927","RA BR","0.0","0.08","28.72","29.77"," 7.5","26","8.1"
3,2012-07-04,"99","78","89"," 6","64","72","0","24","0511","1945"," ","0.0","0.00","29.20","29.89","12.5","18","12.8"
4,2012-07-04,"99","77","88"," 4","68","74","0","23","0534","1937"," ","0.0","0.00","29.28","29.95"," 6.0","16","8.1"
5,2012-07-04,"M","M","M","M","M","M","M","M","0414","1924"," ","M","M","M","M","M","M","M"
6,2012-07-04,"97","75","86"," 3","69","74","0","21","0534","1936","BR","0.0","0.00","29.44","29.94"," 9.7","16","10.2"
7,2012-07-04,"97","77","87","M","64","71","0","22","-","-"," ","0.0","0.00","28.56","29.89","14.8","18","15.2"
8,2012-07-04,"95","75","M","M","70","74","M","M","-","-","BR HZ VCTS","M","0.00","29.63","M"," 6.0","17","6.4"
9,2012-07-04,"100","80","90","M","74","78","0","25","-","-"," ","M","  T","29.01","29.73"," 6.5","16","7.3"
10,2012-07-04,"96","78","87","M","71","75","0","22","0530","1932","TS RA","M","0.77","30.02","30.03"," 4.1","22","6.6"
11,2012-07-04,"94","73","84"," 3","73","75","0","19","0529","1933","TS RA BR","0.0","0.79","29.99","30.03"," 3.2","24","4.3"
12,2012-07-04,"94","75","85","M","72","75","0","20","-","-","TS RA BR","0.0","0.09","29.99","30.03"," 3.0","23","5.6"
13,2012-07-04,"93","61","77","M","42","58","0","12","-","-","FU","M","0.00","24.20","29.75"," 2.4","35","6.6"
14,2012-07-04,"98","74","86"," 5","63","71","0","21","0520","1949"," ","0.0","0.00","28.56","29.89","12.2","17","12.7"
15,2012-07-04,"87","60","74"," 5","64","66","0"," 9","0412","1929","RA FG+ BR VCTS","0.0","1.11","29.39","29.74"," 1.7","25","2.6"
16,2012-07-04,"85","65","75","M","67","70","0","10","-","-","RA BR","M","0.22","29.64","29.72"," 2.0","18","4.0"
17,2012-07-04,"102","73","88","M","62","71","0","23","-","-"," ","0.0","0.00","29.26","29.94"," 8.2","19","8.5"
18,2012-07-04,"98","77","88"," 3","66","73","0","23","0524","1939"," ","0.0","0.00","29.43","29.94","10.8","18","11.5"
19,2012-07-04,"102","81","92","21","69","76","0","27","0418","1934"," ","0.0","0.00","29.10","29.82"," 5.9","25","10.0"
20,2012-07-04,"98","76","87","M","66","73","0","22","-","-"," ","0.0","0.00","29.24","29.93"," 7.9","17","8.5"
1,2012-07-05,"83","68","76","M","63","68","0","11","-","-"," ","M","  T","29.59","29.77"," 3.7","35","5.1"
2,2012-07-05,"81","65","73"," 4","61","66","0"," 8","0417","1927"," ","0.0","0.00","28.71","29.79"," 7.3","34","8.4"
3,2012-07-05,"100","76","88"," 5","63","72","0","23","0512","1944"," ","0.0","0.00","29.23","29.92"," 9.5","18","9.9"
4,2012-07-05,"100","75","88"," 4","68","74","0","23","0534","1937"," ","0.0","0.00","29.30","29.97"," 2.4","17","5.8"
5,2012-07-05,"M","M","M","M","M","M","M","M","0414","1924"," ","M","M","M","M","M","M","M"
6,2012-07-05,"98","72","85"," 2","68","74","0","20","0534","1936","BR","0.0","0.00","29.46","29.96"," 6.7","18","7.0"
7,2012-07-05,"98","76","87","M","63","71","0","22","-","-"," ","0.0","0.00","28.59","29.92","12.8","17","13.2"
8,2012-07-05,"95","72","M","M","69","73","M","M","-","-","BR","M","0.00","29.64","M"," 4.4","16","4.8"
9,2012-07-05,"94","78","86","M","70","75","0","21","-","-"," ","M","0.00","29.15","29.87"," 3.9","02","6.3"
10,2012-07-05,"96","76","86","M","70","75","0","21","0530","1932"," ","M","0.00","29.98","30.01"," 5.5","23","6.5"
11,2012-07-05,"93","73","83"," 2","72","75","0","18","0530","1933","BR","0.0","0.00","29.97","30.00"," 3.9","23","4.9"
12,2012-07-05,"94","72","83","M","72","75","0","18","-","-","HZ","0.0","0.00","29.97","30.01"," 4.2","22","5.7"
13,2012-07-05,"95","66","81","M","50","62","0","16","-","-"," ","M","0.00","24.23","29.77"," 3.1","13","8.4"
14,2012-07-05,"98","71","85"," 4","63","71","0","20","0521","1949"," ","0.0","0.00","28.59","29.92","10.6","17","10.9"
15,2012-07-05,"83","60","72"," 3","62","66","0"," 7","0412","1929","BR","0.0","0.00","29.39","29.78"," 6.8","32","6.9"
16,2012-07-05,"82","65","74","M","64","68","0"," 9","-","-"," ","M","0.00","29.62","29.73"," 4.2","34","5.7"
17,2012-07-05,"102","72","87","M","63","71","0","22","-","-"," ","0.0","0.00","29.29","29.97"," 5.4","19","5.5"
18,2012-07-05,"98","79","89"," 4","65","73","0","24","0525","1939"," ","0.0","0.00","29.45","29.96"," 8.7","17","9.3"
19,2012-07-05,"103","73","88","17","68","74","0","23","0419","1934"," ","0.0","0.00","29.15","29.87"," 3.6","20","6.9"
20,2012-07-05,"98","77","88","M","66","73","0","23","-","-"," ","0.0","0.00","29.26","29.95"," 5.5","17","6.7"
1,2012-07-06,"88","64","76","M","63","68","0","11","-","-"," ","M","0.00","29.72","29.87"," 1.5","23","2.8"
2,2012-07-06,"84","64","74"," 5","61","66","0"," 9","0418","1927"," ","0.0","0.00","28.82","29.89"," 4.4","29","5.9"
3,2012-07-06,"102","76","89"," 6","63","72","0","24","0512","1944"," ","0.0","0.00","29.24","29.94"," 5.5","19","6.0"
4,2012-07-06,"99","75","87"," 3","66","73","0","22","0535","1937"," ","0.0","0.00","29.31","29.97"," 1.9","14","4.4"
5,2012-07-06,"M","M","M","M","M","M","M","M","0415","1924"," ","M","M","M","M","M","M","M"
6,2012-07-06,"97","71","84"," 1","67","73","0","19","0535","1936","BR","0.0","0.00","29.47","29.97"," 4.2","17","5.7"
7,2012-07-06,"99","76","88","M","62","71","0","23","-","-"," ","0.0","0.00","28.63","29.95"," 9.8","18","10.2"
8,2012-07-06,"97","70","M","M","68","73","M","M","-","-","BR","M","0.00","29.65","M"," 3.6","17","4.2"
9,2012-07-06,"102","67","85","M","69","74","0","20","-","-","TSRA BR VCTS","M","0.35","29.16","29.89"," 1.0","11","8.9"
10,2012-07-06,"97","79","88","M","70","75","0","23","0531","1932"," ","M","0.00","29.98","30.00"," 5.5","22","6.8"
11,2012-07-06,"94","74","84"," 3","72","75","0","19","0530","1933","BR","0.0","0.00","29.96","30.00"," 5.1","23","5.9"
12,2012-07-06,"95","77","86","M","71","76","0","21","-","-"," ","0.0","0.00","29.96","30.01"," 4.4","22","5.8"
13,2012-07-06,"85","60","73","M","54","60","0"," 8","-","-","TS TSRA","M","0.22","24.39","29.99"," 4.5","36","7.8"
14,2012-07-06,"100","70","85"," 4","62","70","0","20","0521","1949"," ","0.0","0.00","28.63","29.95"," 7.3","18","8.3"
15,2012-07-06,"88","58","73"," 4","61","66","0"," 8","0413","1929"," ","0.0","0.00","29.50","29.86"," 1.4","27","2.1"
16,2012-07-06,"83","63","73","M","64","68","0"," 8","-","-"," ","M","0.00","29.74","29.84"," 1.7","14","3.3"
17,2012-07-06,"104","71","88","M","62","71","0","23","-","-"," ","0.0","0.00","29.31","29.98"," 3.1","18","3.5"
18,2012-07-06,"100","80","90"," 5","65","73","0","25","0525","1939"," ","0.0","0.00","29.47","29.97"," 5.8","17","7.6"
19,2012-07-06,"94","76","85","14","71","75","0","20","0419","1933"," ","0.0","0.00","29.19","29.92"," 3.2","05","5.4"
20,2012-07-06,"100","79","90","M","65","73","0","25","-","-"," ","0.0","0.00","29.28","29.97"," 4.6","16","5.9"
1,2012-07-07,"83","68","76","M","66","70","0","11","-","-","RA","M","  T","29.63","29.78"," 3.1","26","3.9"
2,2012-07-07,"80","69","75"," 6","64","68","0","10","0418","1927","RA","0.0","  T","28.76","29.81"," 9.6","28","9.9"
3,2012-07-07,"99","76","88"," 5","68","74","0","23","0513","1944","TSRA RA","0.0","0.06","29.26","29.96"," 3.0","13","4.7"
4,2012-07-07,"100","75","88"," 4","68","74","0","23","0535","1937","TS","0.0","0.00","29.31","29.97"," 1.3","08","3.8"
5,2012-07-07,"M","M","M","M","M","M","M","M","0415","1923"," ","M","M","M","M","M","M","M"
6,2012-07-07,"100","72","86"," 3","68","74","0","21","0535","1936","RA","0.0","  T","29.46","29.96"," 1.8","15","5.3"
7,2012-07-07,"98","77","88","M","63","71","0","23","-","-"," ","0.0","0.00","28.64","29.97"," 6.6","17","8.6"
8,2012-07-07,"97","73","M","M","69","74","M","M","-","-","TS","M","0.00","29.63","M"," 2.1","16","3.6"
9,2012-07-07,"85","64","75","M","60","66","0","10","-","-"," ","M","0.00","29.34","30.08"," 7.9","01","8.5"
10,2012-07-07,"96","75","86","M","69","75","0","21","0531","1932","TS","M","0.45","30.03","30.06"," 3.6","17","6.3"
11,2012-07-07,"95","72","84"," 3","72","75","0","19","0531","1933","TS RA","0.0","1.38","30.03","30.05"," 2.3","22","4.3"
12,2012-07-07,"94","76","85","M","72","76","0","20","-","-","TS HZ","0.0","0.00","30.01","30.06"," 2.8","18","4.9"
13,2012-07-07,"81","60","71","M","58","61","0"," 6","-","-","TS TSRA RA BR","M","1.23","24.49","30.18"," 2.3","12","6.3"
14,2012-07-07,"98","73","86"," 5","63","70","0","21","0522","1949"," ","0.0","0.00","28.64","29.97"," 5.3","16","6.7"
15,2012-07-07,"83","64","74"," 5","65","68","0"," 9","0414","1928","BR","0.0","  T","29.41","29.77"," 3.3","29","3.5"
16,2012-07-07,"82","69","76","M","67","70","0","11","-","-","RA","M","  T","29.65","29.74"," 5.7","28","6.2"
17,2012-07-07,"100","76","88","M","66","73","0","23","-","-","RA VCTS","0.0","  T","29.33","30.00"," 2.5","17","3.7"
18,2012-07-07,"101","76","89"," 3","67","73","0","24","0526","1939"," ","0.0","0.14","29.47","29.97"," 3.3","14","7.1"
19,2012-07-07,"86","68","77"," 6","63","67","0","12","0420","1933"," ","0.0","0.00","29.28","29.99","11.9","01","13.1"
20,2012-07-07,"102","73","88","M","68","73","0","23","-","-","RA","0.0","0.37","29.28","29.97"," 1.2","15","4.6"
1,2012-07-08,"88","64","76","M","58","65","0","11","-","-"," ","M","0.00","29.65","29.82"," 4.1","32","5.7"
2,2012-07-08,"85","66","76"," 7","59","66","0","11","0419","1926"," ","0.0","0.00","28.77","29.84"," 8.3","31","8.9"
3,2012-07-08,"95","75","85"," 2","68","74","0","20","0513","1944","TS TSRA RA","0.0","0.02","29.24","29.95"," 1.0","26","5.4"
4,2012-07-08,"99","75","87"," 3","69","74","0","22","0536","1936","RA","0.0","0.01","29.29","29.96"," 0.9","16","3.4"
5,2012-07-08,"M","M","M","M","M","M","M","M","0416","1923"," ","M","M","M","M","M","M","M"
6,2012-07-08,"96","74","85"," 2","70","74","0","20","0536","1936"," ","0.0","  T","29.45","29.95"," 4.2","17","6.9"
7,2012-07-08,"96","71","84","M","64","71","0","19","-","-"," ","0.0","  T","28.63","29.96"," 2.7","06","5.7"
8,2012-07-08,"95","77","M","M","71","75","M","M","-","-","RA VCTS","M","0.00","29.63","M"," 3.8","18","4.9"
9,2012-07-08,"89","70","80","M","61","68","0","15","-","-"," ","M","0.00","29.36","30.10"," 4.6","32","5.3"
10,2012-07-08,"97","79","88","M","71","76","0","23","0532","1932"," ","M","0.00","30.03","30.05"," 3.9","19","6.6"
11,2012-07-08,"95","73","84"," 3","72","76","0","19","0531","1932","BR","0.0","0.00","30.01","30.05"," 3.8","22","5.7"
12,2012-07-08,"96","75","86","M","72","76","0","21","-","-"," ","0.0","0.00","30.01","30.05"," 1.9","21","5.7"
13,2012-07-08,"74","60","67","M","59","61","0"," 2","-","-","RA BR","M","0.03","24.50","30.20"," 2.2","35","3.6"
14,2012-07-08,"98","69","84"," 3","64","71","0","19","0522","1948"," ","0.0","0.00","28.63","29.96"," 2.7","06","5.2"
15,2012-07-08,"85","57","71"," 2","56","62","0"," 6","0414","1928","BR","0.0","0.00","29.44","29.82"," 5.4","32","6.1"
16,2012-07-08,"87","63","75","M","59","66","0","10","-","-"," ","M","0.00","29.67","29.78"," 5.7","32","6.5"
17,2012-07-08,"97","77","87","M","66","72","0","22","-","-"," ","0.0","  T","29.31","29.99"," 1.1","05","3.1"
18,2012-07-08,"97","76","87"," 1","69","74","0","22","0526","1939","TS","0.0","0.00","29.46","29.96"," 4.9","15","5.5"
19,2012-07-08,"81","67","74"," 3","57","64","0"," 9","0421","1933"," ","0.0","0.00","29.33","30.06"," 4.9","05","8.0"
20,2012-07-08,"97","73","85","M","71","74","0","20","-","-","RA BR","0.0","0.12","29.26","29.96"," 3.5","13","4.7"
1,2012-07-09,"83","59","71","M","50","59","0"," 6","-","-"," ","M","0.00","29.77","29.94"," 3.4","32","4.2"
2,2012-07-09,"80","60","70"," 0","49","58","0"," 5","0420","1926"," ","0.0","0.00","28.87","29.95"," 6.3","32","6.9"
3,2012-07-09,"98","74","86"," 3","68","73","0","21","0514","1943"," ","0.0","0.00","29.22","29.92"," 4.5","07","6.1"
4,2012-07-09,"99","72","86"," 1","71","74","0","21","0536","1936","TS TSRA RA","0.0","0.85","29.26","29.92"," 1.4","21","4.1"
5,2012-07-09,"M","M","M","M","M","M","M","M","0417","1923"," ","M","M","M","M","M","M","M"
6,2012-07-09,"97","73","85"," 2","71","74","0","20","0536","1936","TS TSRA RA BR","0.0","0.38","29.41","29.91"," 5.1","19","8.1"
7,2012-07-09,"97","73","85","M","68","72","0","20","-","-","TS RA BR VCTS","0.0","0.12","28.61","29.93"," 5.8","35","8.1"
8,2012-07-09,"95","73","M","M","70","74","M","M","-","-","RA VCTS","M","0.00","29.58","M"," 3.2","20","4.8"
9,2012-07-09,"86","66","76","M","56","64","0","11","-","-"," ","M","0.00","29.36","30.11"," 5.5","35","6.3"
10,2012-07-09,"98","79","89","M","71","76","0","24","0532","1932"," ","M","0.00","29.98","30.00"," 5.9","20","8.3"
11,2012-07-09,"95","75","85"," 4","72","76","0","20","0532","1932"," ","0.0","0.00","29.96","29.99"," 5.0","22","5.5"
12,2012-07-09,"96","75","86","M","71","76","0","21","-","-"," ","0.0","0.00","29.96","30.00"," 4.0","20","5.8"
13,2012-07-09,"77","60","69","M","57","61","0"," 4","-","-","TSRA BR","M","0.43","24.50","30.19"," 1.8","12","4.3"
14,2012-07-09,"99","74","87"," 6","68","73","0","22","0523","1948","RA","0.0","0.21","28.60","29.93"," 6.8","35","9.3"
15,2012-07-09,"81","50","66","-3","48","56","0"," 1","0415","1927"," ","0.0","0.00","29.55","29.93"," 4.6","32","5.0"
16,2012-07-09,"82","58","70","M","53","60","0"," 5","-","-"," ","M","0.00","29.79","29.90"," 5.1","32","5.6"
17,2012-07-09,"99","73","86","M","67","73","0","21","-","-"," ","0.0","0.00","29.28","29.95"," 5.1","06","6.0"
18,2012-07-09,"97","77","87"," 1","70","74","0","22","0527","1939"," ","0.0","  T","29.40","29.91"," 1.8","14","6.2"
19,2012-07-09,"80","68","74"," 3","61","66","0"," 9","0421","1932"," ","0.0","0.00","29.33","30.05"," 5.5","04","6.9"
20,2012-07-09,"97","75","86","M","71","75","0","21","-","-","VCTS","0.0","0.04","29.21","29.91"," 1.7","14","4.6"
1,2012-07-10,"84","55","70","M","50","59","0"," 5","-","-"," ","M","  T","29.88","30.05"," 1.8","26","2.5"
2,2012-07-10,"80","63","72"," 2","46","58","0"," 7","0420","1925"," ","0.0","0.00","28.97","30.05"," 2.5","30","5.1"
3,2012-07-10,"95","75","85"," 2","65","72","0","20","0515","1943","TS RA","0.0","0.02","29.23","29.93"," 5.0","03","6.1"
4,2012-07-10,"91","72","82","-3","72","74","0","17","0537","1936","TS TSRA RA BR","0.0","0.51","29.23","29.90"," 0.7","18","2.0"
5,2012-07-10,"M","M","M","M","M","M","M","M","0417","1922"," ","M","M","M","M","M","M","M"
6,2012-07-10,"89","72","81","-2","72","75","0","16","0537","1935","TSRA RA BR","0.0","0.25","29.38","29.89"," 3.0","17","4.4"
7,2012-07-10,"93","72","83","M","69","73","0","18","-","-","BR VCTS","0.0","  T","28.63","29.95"," 4.6","02","6.8"
8,2012-07-10,"82","72","M","M","71","73","M","M","-","-","RA DZ VCTS","M","0.46","29.55","M"," 2.1","20","2.6"
9,2012-07-10,"87","65","76","M","56","64","0","11","-","-"," ","M","0.00","29.38","30.12"," 0.5","09","2.9"
10,2012-07-10,"97","79","88","M","71","75","0","23","0533","1931","TS","M","  T","29.98","30.00"," 5.0","18","6.7"
11,2012-07-10,"93","75","84"," 3","72","75","0","19","0532","1932","TS","0.0","0.00","29.96","30.00"," 2.7","23","3.1"
12,2012-07-10,"94","75","85","M","72","75","0","20","-","-","TSRA","0.0","0.02","29.96","30.01"," 3.1","19","4.5"
13,2012-07-10,"83","59","71","M","53","60","0"," 6","-","-"," ","M","0.00","24.44","30.11"," 4.5","14","7.6"
14,2012-07-10,"91","74","83"," 1","69","72","0","18","0524","1948","TS RA","0.0","0.17","28.61","29.95"," 3.9","03","6.8"
15,2012-07-10,"82","46","64","-5","49","56","1"," 0","0416","1927"," ","0.0","0.00","29.65","30.04"," 1.5","31","1.7"
16,2012-07-10,"83","52","68","M","52","59","0"," 3","-","-"," ","M","0.00","29.90","30.01"," 0.4","09","4.1"
17,2012-07-10,"97","73","85","M","65","72","0","20","-","-","VCTS","0.0","0.00","29.29","29.96"," 4.8","03","5.6"
18,2012-07-10,"94","75","85","-1","70","74","0","20","0527","1938"," ","0.0","0.05","29.39","29.90"," 4.1","07","5.2"
19,2012-07-10,"77","64","71"," 0","60","64","0"," 6","0422","1932"," ","0.0","0.00","29.39","30.13"," 7.2","03","7.7"
20,2012-07-10,"92","73","83","M","71","74","0","18","-","-","RA BR","0.0","0.04","29.20","29.89"," 3.9","08","4.7"
1,2012-07-11,"87","59","73","M","56","63","0"," 8","-","-"," ","M","0.00","29.99","30.16"," 2.3","13","3.7"
2,2012-07-11,"84","62","73"," 3","56","63","0"," 8","0421","1925"," ","0.0","0.00","29.08","30.17"," 3.0","24","5.8"
3,2012-07-11,"98","70","84"," 1","62","70","0","19","0515","1943"," ","0.0","0.00","29.23","29.93"," 3.2","06","4.9"
4,2012-07-11,"88","72","80","-5","73","74","0","15","0537","1936","TS TSRA RA BR","0.0","0.12","29.22","29.90"," 0.6","29","2.2"
5,2012-07-11,"M","M","M","M","M","M","M","M","0418","1922"," ","M","M","M","M","M","M","M"
6,2012-07-11,"86","73","80","-3","73","74","0","15","0537","1935","TS TSRA RA BR HZ","0.0","0.44","29.38","29.89"," 1.1","16","2.2"
7,2012-07-11,"95","69","82","M","62","70","0","17","-","-","TS","0.0","0.00","28.61","29.95"," 3.1","04","4.1"
8,2012-07-11,"84","73","M","M","70","72","M","M","-","-","VCTS","M","0.00","29.55","M"," 3.3","18","3.2"
9,2012-07-11,"89","64","77","M","58","65","0","12","-","-"," ","M","0.00","29.33","30.09"," 3.5","19","4.6"
10,2012-07-11,"94","78","86","M","69","74","0","21","0533","1931"," ","M","0.18","30.00","30.03"," 1.7","18","5.3"
11,2012-07-11,"91","73","82"," 1","71","74","0","17","0533","1932","TS","0.0","0.00","29.98","30.03"," 1.5","15","4.5"
12,2012-07-11,"91","73","82","M","71","74","0","17","-","-"," ","0.0","0.00","29.98","30.03"," 3.4","16","4.6"
13,2012-07-11,"87","59","73","M","51","60","0"," 8","-","-"," ","M","0.00","24.38","30.01"," 3.9","17","7.4"
14,2012-07-11,"95","71","83"," 1","64","71","0","18","0524","1948","TSRA","0.0","0.01","28.60","29.94"," 2.8","02","4.2"
15,2012-07-11,"86","50","68","-1","52","60","0"," 3","0416","1927"," ","0.0","0.00","29.77","30.15"," 1.2","16","M"
16,2012-07-11,"82","58","70","M","58","63","0"," 5","-","-"," ","M","  T","30.02","30.13"," 2.5","13","4.8"
17,2012-07-11,"99","71","85","M","62","70","0","20","-","-"," ","0.0","0.00","29.28","29.96"," 3.4","04","4.0"
18,2012-07-11,"96","74","85","-1","67","73","0","20","0528","1938"," ","0.0","0.00","29.39","29.90"," 5.6","06","7.6"
19,2012-07-11,"82","62","72"," 1","59","65","0"," 7","0423","1931"," ","0.0","0.00","29.39","30.13"," 4.0","07","5.8"
20,2012-07-11,"97","72","85","M","68","73","0","20","-","-"," ","0.0","0.00","29.20","29.89"," 4.9","06","6.3"
1,2012-07-12,"89","63","76","M","60","67","0","11","-","-"," ","M","0.00","30.00","30.16"," 3.7","18","5.0"
2,2012-07-12,"88","64","76"," 6","58","65","0","11","0422","1924"," ","0.0","0.00","29.10","30.18"," 9.3","25","9.8"
3,2012-07-12,"100","74","87"," 4","63","71","0","22","0516","1943"," ","0.0","0.00","29.22","29.92"," 3.6","09","5.2"
4,2012-07-12,"96","73","85"," 0","71","74","0","20","0538","1936","BR","0.0","0.00","29.23","29.90"," 0.7","20","2.6"
5,2012-07-12,"M","M","M","M","M","M","M","M","0419","1921"," ","M","M","M","M","M","M","M"
6,2012-07-12,"94","73","84"," 1","72","75","0","19","0538","1935","BR","0.0","0.10","29.39","29.89"," 1.3","17","3.5"
7,2012-07-12,"96","69","83","M","63","70","0","18","-","-","HZ","0.0","0.00","28.59","29.93"," 3.0","11","5.0"
8,2012-07-12,"88","75","M","M","69","73","M","M","-","-","TSRA RA VCTS","M","0.02","29.57","M"," 2.9","19","3.7"
9,2012-07-12,"91","66","79","M","61","68","0","14","-","-"," ","M","0.00","29.24","29.99"," 7.5","16","8.1"
10,2012-07-12,"93","80","87","M","72","76","0","22","0534","1931"," ","M","  T","30.00","30.02"," 7.7","10","8.7"
