Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,AverageGINI
Cambodia,KHM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,,,,,,,,,,35.46,,,41.14,35.1,34.65,33.44,31.7,30.76,,,,,34.60714286
Kiribati,KIR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.61,,,,,,,,,,,37.61
St. Kitts and Nevis,KNA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Korea, Rep.",KOR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Kosovo,KSV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.95,,31.24,30.32,,,31.78,33.25,27.83,29.4,26.71,,,,29.935
Kuwait,KWT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Latin America & Caribbean (excluding high income),LAC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Lao PDR,LAO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.31,,,,,34.9,,,,,34.66,,,,,36.64,,,,,37.89,,,,,36.39666667
Lebanon,LBN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Liberia,LBR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.48,,,,,,,,,,36.48
Libya,LBY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
St. Lucia,LCA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.58,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Latin America & Caribbean,LCN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Least developed countries: UN classification,LDC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Low income,LIC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Liechtenstein,LIE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Sri Lanka,LKA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,,,,,32.45,,,,,35.4,,,,,,,40.96,,,,40.25,,,36.39,,,39.16,,,,,39.19
Lower middle income,LMC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Low & middle income,LMY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Lesotho,LSO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,56.02,,,,,,,,63.24,,,,,,,,51.57,,,,,,,,54.18,,,,,,,52.875
Late-demographic dividend,LTE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Lithuania,LTU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.48,,,,,33.64,,,32.26,,32.1,32.02,31.67,32.01,31.92,35.46,35.2,35.3,34.44,34.59,35.77,37.38,33.76,32.63,35.15,,,,,34.25230769
Luxembourg,LUX,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25,31.11,30.96,31.28,32.61,31.53,30.9,32.42,34.79,,,,,31.76111111
Latvia,LVA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.49,,,,,26.99,,30.98,31.64,33.26,33.26,,,,35.09,36.53,36.77,39.4,35.6,36.05,37.41,34.83,35.27,36.03,35.48,,,,,36.22363636
"Macao SAR, China",MAC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
St. Martin (French part),MAF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Morocco,MAR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,39.19,,,,,,39.2,,,,,,,,39.46,,40.64,,,,,,40.72,,,,,,,,,,,40.68
Monaco,MCO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Moldova,MDA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.14,,,,34.32,,,,,36.94,39.52,42.62,36.43,37.99,35.85,34.9,35.03,36.28,35.4,34.42,34.69,32.91,32.05,30.63,29.16,28.53,26.83,,,33.40666667
Madagascar,MDG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.26,,,,39.47,,38.61,,47.44,,,,38.88,,,,,40.63,,42.65,,,,,42.4
Maldives,MDV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.31,,,,,,,38.37,,,,,,,,39.84
Middle East & North Africa,MEA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Mexico,MEX,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,48.95,,,,,54.34,,,50.95,,54.3,,48.47,,48.97,,51.67,,49.54,,46.03,,48.01,,48.23,,48.13,,48.07,,48.21,,,48.48625
Marshall Islands,MHL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Middle income,MIC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Macedonia, FYR",MKD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.13,,34.26,,38.51,38.72,38.77,39.31,42.64,,44.05,,,,,,,,,39.46571429
Mali,MLI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.44,,,,,,,39.87,,,,,38.93,,,33.04,,,,,,,,37.28
Malta,MLT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Myanmar,MMR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Middle East & North Africa (excluding high income),MNA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Montenegro,MNE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.22,30.04,31.45,30.49,31.01,28.89,30.82,32.18,32.33,31.93,,,30.936
Mongolia,MNG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,30.27,,,,32.89,,,,,35.82,,,33.08,33.88,33.75,,32.04,,,33.57666667
Northern Mariana Islands,MNP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Mozambique,MOZ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.41,,,,,,47.04,,,,,,45.58,,,,,,,,,46.31
Mauritania,MRT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.94,,,,,,50.05,,37.75,,,,,39.03,,,,40.17,,,,35.69,,,,,,32.42,,,36.8275
Mauritius,MUS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.65,,,,,,35.84,,,,,35.745
Malawi,MWI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.76,,,,,,,39.87,,,,,,46.12,,,,,,,42.995
Malaysia,MYS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,48.62,,,47.04,,46.17,,,47.65,,,48.52,,49.15,,,,,,,46.05,,,46.05,,46.26,,,,,,,,46.12
North America,NAC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Namibia,NAM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.32,,,,,,60.97,,,,,,,,62.145
New Caledonia,NCL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Niger,NER,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,41.53,,,,,,,,,,,44.43,,37.3,,,,31.45,,,33.99,,,36.7925
Nigeria,NGA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,38.68,,,,,,,44.98,,,,51.92,,,,,,,40.06,,,,,,42.97,,,,,,,,41.515
Nicaragua,NIC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.36,,,,,45.16,,,58.03,,,,40.49,,,,45.73,,,,,47.05,,,47.825
Netherlands,NLD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.74,29.86,30.76,30.35,29.93,28.38,28.73,28.17,27.99,,,,,29.43444444
Norway,NOR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.72,32.27,27.29,28.07,27.14,26.39,25.86,25.54,25.9,,,,,27.79777778
Nepal,NPL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,30.06,,,,,,,,,,,35.21,,,,,,,,43.77,,,,,,,32.84,,,,,,,38.305
Nauru,NRU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
New Zealand,NZL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
OECD members,OED,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Oman,OMN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Other small states,OSS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Pakistan,PAK,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.32,,,33.25,,,,,,28.67,,33.12,,,30.37,,,32.51,32.72,,31.84,,,29.8,30.93,,30.69,,,,31.26571429
Panama,PAN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.91,,58.22,,,,57.81,,58.23,57.48,56.46,57.66,57.3,56.59,56.37,55.06,53.99,55.06,52.97,52.63,52.03,51.91,51.83,51.9,51.66,50.7,,,53.844
Peru,PER,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,45.63,,,,,,,,,44.02,,,53.72,56.14,56.34,50.77,51.83,54.04,53.71,51.2,51.84,51.67,51.35,48.55,47.96,46.21,45.48,45.11,44.73,44.14,,,49.23933333
Philippines,PHL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,41.04,,,40.75,,,43.82,,,42.89,,,45.96,,,46.17,,,44.04,,,44.2,,,42.91,,,43.04,,,,,44.072
Palau,PLW,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Papua New Guinea,PNG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.43,,,,,,,,,,,,,43.88,,,,,,,,43.88
Poland,POL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,25.16,,25.53,,26.89,,,,26.7,,,32.66,,32.32,32.59,32.97,32.85,34.05,34.91,35.43,34.49,34.71,33.51,33.72,33.58,33.25,32.78,32.39,32.55,32.08,,,33.55133333
Pre-demographic dividend,PRE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Puerto Rico,PRI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Korea, Dem. People??s Rep.",PRK,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Portugal,PRT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,38.47,38.06,36.75,36.63,34.91,35.84,36.34,36.04,,,,,36.88222222
Paraguay,PRY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.84,,,,,58.16,,54.89,,54.58,,54.83,57.34,55.55,52.59,51.37,53.63,52.09,51.04,49.67,51.83,52.6,48.17,48.3,51.67,,,52.19142857
Pacific island small states,PSS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Post-demographic dividend,PST,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
French Polynesia,PYF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Qatar,QAT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Romania,ROU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.31,,,25.46,,28.2,,,,31.08,29.42,29.32,29.43,30.23,29.91,30.04,29.82,30.46,,36.93,35.24,35.3,,34.88,27.45,,,,31.58416667
Russian Federation,RUS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,48.38,,,46.1,38.41,38.14,37.44,37.09,39.6,37.28,40.69,40.92,41.37,41.54,42.33,41.42,39.69,40.94,41.04,41.59,,,,,40.42307692
Rwanda,RWA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,48.55,,,,,52.04,,,,,51.34,,,50.44,,,,50.5925
South Asia,SAS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Saudi Arabia,SAU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Sudan,SDN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.39,,,,,,,,35.39
Senegal,SEN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.14,,,41.44,,,,,,,41.23,,,,39.22,,,,,,40.29,,,,,,40.24666667
Singapore,SGP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Solomon Islands,SLB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,,,,,,,46.1
Sierra Leone,SLE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.17,,,,,,,,33.99,,,,,,37.08
El Salvador,SLV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.95,,,,49.88,51.39,,54.52,52.2,51.31,51.14,51.54,50.72,47.38,47.88,45.44,45.24,46.65,45.93,44.53,42.43,41.8,43.51,41.84,,,46.48933333
San Marino,SMR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Somalia,SOM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Serbia,SRB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.97,32.83,32.98,33.43,29.67,29.43,28.18,28.67,29.65,,,29.06,,,,30.587
Sub-Saharan Africa (excluding high income),SSA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
South Sudan,SSD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,,,,,,,,46.34
Sub-Saharan Africa,SSF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Small states,SST,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Sao Tome and Principe,STP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.13,,,,,,,,,,30.82,,,,,,,31.475
Suriname,SUR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.61,,,,,,,,,,,,,,,,,,#DIV/0!
Slovak Republic,SVK,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.54,,,,19.49,,,,25.81,,,,,,,,28.94,29.33,27.71,24.74,26.08,26.02,27.32,26.58,26.12,,,,,26.98222222
Slovenia,SVN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,29.18,,,,,28.41,,,,29.12,30.87,24.84,24.63,24.48,24.37,23.72,24.83,24.94,24.87,25.59,,,,,25.66
Sweden,SWE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.43,27.1,26.47,26.92,27.13,26.61,26.81,27.24,27.32,,,,,26.89222222
Swaziland,SWZ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.45,,,,,,53.11,,,,,,,,,51.45,,,,,,,,52.28
Sint Maarten (Dutch part),SXM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Seychelles,SYC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.78,,,,,,,42.77,,,,,,,46.82,,,,44.795
Syrian Arab Republic,SYR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Turks and Caicos Islands,TCA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Chad,TCD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.82,,,,,,,,43.32,,,,,,41.57
East Asia & Pacific (IDA & IBRD countries),TEA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Europe & Central Asia (IDA & IBRD countries),TEC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Togo,TGO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.21,,,,,46.02,,,,,,44.115
Thailand,THA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,45.22,,,,,,,43.84,,45.27,,47.86,,43.47,,42.9,,41.46,43.09,42.83,,41.94,,42.54,,41.82,39.76,40.29,39.75,39.4,37.46,39.26,37.85,,,,40.26363636
Tajikistan,TJK,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.54,,,,32.72,33.6,,,32.19,,30.77,,,30.52,30.41,30.76,,,31.56714286
Turkmenistan,TKM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39,,,,,35.38,,,,,40.77,,,,,,,,,,,,,,,,,,,#DIV/0!
Latin America & the Caribbean (IDA & IBRD countries),TLA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Middle East & North Africa (IDA & IBRD countries),TMN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Timor-Leste,TLS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.56,,,,,,31.56,,,,,,,,,,34.56
Tonga,TON,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84,,,,,,,,38.1,,,,,,,,37.97
South Asia (IDA & IBRD),TSA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Sub-Saharan Africa (IDA & IBRD countries),TSS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Trinidad and Tobago,TTO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,40.27,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Tunisia,TUN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,43.43,,,,,40.24,,,,,41.66,,,,,40.81,,,,,37.73,,,,,35.81,,,,,,,38.11666667
Turkey,TUR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48,,,,,,,41.32,,,,,,,,41.4,42.18,41.29,42.61,39.65,38.44,39.02,38.97,38.79,40.04,40.17,40.18,,,,40.22833333
Tuvalu,TUV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,41.1
Tanzania,TZA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.29,,,,,,,,,37.3,,,,,,,40.28,,,,37.78,,,,,,38.45333333
