body,tags,author
We need a great president.,"Great,Need,President",Donald Tump
"I built a great company, one of the - some of the most iconic assets in the world, $10 billion of net worth, more than $10 billion of net worth, and frankly, I had a great time doing it.","Time,Great,World",Donald Tump
I have the right temperament. I have the right leadership. I've built an incredible company. I went to a great school. I came out - I built an incredible company. I wrote the number one selling business book of all time: 'Trump: The Art of the Deal.',"Leadership,Time,Art",Donald Tump
The first thing the secretary types is the boss.,"Boss,First,Secretary",Donald Tump
I was a great student. I was good at everything.,"Good,Great,Student",Donald Tump
To buy books would be a good thing if we also could buy the time to read them.,"Time,Good,Buy",Arthur Schopenhauer
"In our monogamous part of the world, to marry means to halve one's rights and double one's duties.","World,Rights,Double",Arthur Schopenhauer
Great minds are related to the brief span of time during which they live as great buildings are to a little square in which they stand: you cannot see them in all their magnitude because you are standing too close to them.,"Time,Great,Live",Arthur Schopenhauer
"I wouldn't mind a little bow. In Japan, they bow. I love it. Only thing I love about Japan.","Love,Mind,Japan",Donald Tump
"I'm a believer in the polls, by the way. Rarely do you see a poll that's very far off.","Way,See,You",Donald Tump
I'm a bit of a P. T. Barnum. I make stars out of everyone.,"Stars,Everyone,Out",Donald Tump
Iran is not getting rid of any of its nuclear plants. They're not getting rid of anything.,"Plants,Nuclear,Anything",Donald Tump
It is time to show the whole world that America is back - bigger and better and stronger than ever before.,"Time,America,World",Donald Tump
It's my life. It just continues to go forward from 'The Apprentice.',"Life,My Life,Forward",Donald Tump
I've become very successful over the years. I think I own among the greatest properties in the world.,"Greatest,World,Successful",Donald Tump
I've been making deals all my life.,"Life,My Life,Deals",Donald Tump
Many agree that the worst thing that could ever happen is if Russia and China get closer.,"Happen,Russia,Worst",Donald Tump
"I do respect them; I have great respect for women. In fact, one of the reasons 'The Apprentice' was such a successful show for so many years, the audience of women was fantastic.","Respect,Women,Great",Donald Tump
"I don't make deals for the money. I've got enough, much more than I'll ever need. I do it to do it.","Money,Enough,Need",Donald Tump
"All the commandments: You shall not commit adultery, you shall not kill, you shall not steal, you shall not covet, and so on, are summed up in this single command: You must love your neighbor as yourself.","Love,Yourself,Neighbor",Jesus Christ
"It is not the healthy who need a doctor, but the sick. I have not come to call the righteous, but sinners to repentance.","Healthy,Doctor,Sick",Jesus Christ
"The Arab League tells us to go in and take out Qaddafi. We've spent billions of dollars already with respect to the Arab League. Billions of dollars, because they told us to do it. Why aren't they paying for it? They don't like Qaddafi, Qaddafi's been a terrible thorn in their side.","Respect,Why,Like",Donald Tump
"Somebody made the statement that Donald Trump has built or owns the greatest collection of golf courses, ever, in the history of golf. And I believe that is 100 percent true.","History,Greatest,Golf",Donald Tump
"People love me. And you know what, I have been very successful. Everybody loves me.","Love,Successful,People",Donald Tump
"That's one of the nice things. I mean, part of the beauty of me is that I'm very rich. So if I need $600 million, I can put $600 million myself. That's a huge advantage. I must tell you, that's a huge advantage over the other candidates.","Beauty,Myself,Me",Donald Tump
All of the women on The Apprentice flirted with me - consciously or unconsciously. That's to be expected.,"Women,Me,Apprentice",Donald Tump
So we really need jobs now. We have to take jobs away from other countries because other countries are taking our jobs. There is practically not a country that does business with the United States that isn't making - let's call it a very big profit. I mean China is going to make $300 billion on us at least this year.,"Business,Country,Mean",Donald Tump
"I think Ronald Reagan was one of the great presidents, period, not just recently. I thought he had the demeanor. I thought he had the bearing. I thought he had the thought process.","Great,Thought,Process",Donald Tump
I think I was born with the drive for success because I have a certain gene.,"Success,Drive,Think",Donald Tump
"I think the World Trade Center should be rebuilt as the World Trade Center, only stronger and one story taller. I hate what they're doing with the World Trade Center site.","World,Hate,Doing",Donald Tump
"I will tell you this: I have fun, a lot of fun with 'The Apprentice.' When I did the books - and now we have a book out. And all the time, books are prestigious. But there's sort of nothing like having the big hot show on television.","Time,Book,Fun",Donald Tump
I own buildings. I'm a builder; I know how to build. Nobody can build like I can build. Nobody. And the builders in New York will tell you that. I build the best product. And my name helps a lot.,"Best,Name,Know",Donald Tump
"The Obama representatives like Robert Gibbs attack people viciously, but people like me will not be silent and will answer them back.","People,Me,Silent",Donald Tump
"You have to blast to build in Manhattan. And the buildings went up in Manhattan because of the power of that bedrock. Once you dig that foundation - and they dig with dynamite - and once you dynamite out and you secure that foundation, that building isn't going anywhere.","Power,Foundation,Building",Donald Tump
"There is no absurdity so palpable but that it may be firmly planted in the human head if you only begin to inculcate it before the age of five, by constantly repeating it with an air of great solemnity.","Age,Great,Air",Arthur Schopenhauer
"Newspapers are the second hand of history. This hand, however, is usually not only of inferior metal to the other hands, it also seldom works properly.","History,Hands,Hand",Arthur Schopenhauer
"If I am elected President, I will end the special interest monopoly in Washington, D.C.","End,Special,Washington",Donald Tump
"My father was very energetic; my mother was very energetic. He lived to a very old age, and so did my mother. I believe that I just have it from my father, from my parents. They had wonderful energy.","Age,Father,Mother",Donald Tump
"Obamacare is, number one and maybe least importantly, it's costing the country a fortune.","Country,Fortune,Obamacare",Donald Tump
"On January 21st of 2017, the day after I take the oath of office, Americans will finally wake up in a country where the laws of the United States are enforced. We are going to be considerate and compassionate to everyone. But my greatest compassion will be for our own struggling citizens.","Greatest,Day,Compassion",Donald Tump
"Remember, many Republicans didn't vote for Mitt Romney. He didn't inspire people.","Vote,Inspire,People",Donald Tump
"Ronald Reagan became, you know, not only a Republican but a pretty conservative Republican - not the most. But a pretty conservative Republican. And he's somebody that I actually knew and liked. And he liked me. And I worked with him and helped him.","Me,Know,Republican",Donald Tump
"I give to everybody. When they call, I give. And do you know what? When I need something from them two years later, three years later, I call them, they are there for me.","Me,Know,Need",Donald Tump
"I had great relationship with the Hispanic - we had a lot of Hispanics in the school actually from different countries, Venezuela, from Brazil, and they all played soccer, and I was on the soccer team, and I developed great relationships with them.","Relationship,Great,Team",Donald Tump
I had tremendous success in show business - star on the Hollywood Walk of Fame. 'The Apprentice' was one of the most successful shows.,"Success,Business,Walk",Donald Tump
"Blessed are the meek, for they will inherit the earth.","Blessed,Earth,Will",Jesus Christ
"I tell you the truth, it is hard for a rich man to enter the kingdom of heaven. Again I tell you, it is easier for a camel to go through the eye of a needle than for a rich man to enter the kingdom of heaven.","Truth,Man,Eye",Jesus Christ
"Man shall not live by bread alone, but by every word that proceeds from the mouth of God.","God,Alone,Man",Jesus Christ
"Sometimes you need conflict in order to come up with a solution. Through weakness, oftentimes, you can't make the right sort of settlement, so I'm aggressive, but I also get things done, and in the end, everybody likes me.","Conflict,End,Me",Donald Tump
It's a great thing when you can show that you've been successful and that you've made a lot of money and that you've employed a lot of people.,"Money,Great,Successful",Donald Tump
"I have made the tough decisions, always with an eye toward the bottom line. Perhaps it's time America was run like a business.","Time,Business,America",Donald Tump
Do you mind if I sit back a little? Because your breath is very bad.,"Mind,Bad,You",Donald Tump
"We - we need strength, we need energy, we need quickness and we need brain in this country to turn it around.","Strength,Brain,Energy",Donald Tump
"We have to straighten out our country; we have to make our country great again, and we need energy and enthusiasm.","Great,Energy,Country",Donald Tump
"Part of being a winner is knowing when enough is enough. Sometimes you have to give up the fight and walk away, and move on to something that's more productive.","Fight,Walk,Winner",Donald Tump
I'm worth far too much money. I don't need anybody's money.,"Money,Worth,Need",Donald Tump
"I've always said, 'If you need Viagra, you're probably with the wrong girl.'","Girl,Said,Wrong",Donald Tump
I've got the hottest brand in the world.,"World,Brand,Hottest",Donald Tump
Forty Wall Street is probably the most beautiful tower in New York.,"Beautiful,Most Beautiful",Donald Tump
I've been dealing with politicians all my life. All my life. And I've always gotten them to do what I need them to do.,"Life,My Life,Politicians",Donald Tump
"Patriotism, when it wants to make itself felt in the domain of learning, is a dirty fellow who should be thrown out of doors.","Learning,Patriotism,Doors",Arthur Schopenhauer
The word of man is the most durable of all material.,"Man,Word,Most",Arthur Schopenhauer
The difficulty is to try and teach the multitude that something can be true and untrue at the same time.,"Time,Teach,True",Arthur Schopenhauer
"One of the reasons that New York became great was that it's serviced by many, many different rivers and waterways. You have the Atlantic Ocean connected virtually right to it, and it's serviced by the East River and the Hudson River and lots of tributaries.","Great,Ocean,River",Donald Tump
"President Obama has almost doubled our national debt to more than $19 trillion, and growing. And yet, what do we have to show for it? Our roads and bridges are falling apart, our airports are in Third World condition, and forty-three million Americans are on food stamps.","Food,World,Bridges",Donald Tump
"So many people are on television that don't know me, and they're like experts on me.","People,Me,Know",Donald Tump
Seth Meyers is highly overrated as a comedian.,"Overrated,Comedian,Highly",Donald Tump
Somebody said I am the most popular person in Arizona because I am speaking the truth.,"Truth,Said,Person",Donald Tump
"I have embraced crying mothers who have lost their children because our politicians put their personal agendas before the national good. I have no patience for injustice, no tolerance for government incompetence, no sympathy for leaders who fail their citizens.","Patience,Children,Good",Donald Tump
"If you bring forth what is within you, what you bring forth will save you. If you do not bring forth what is within you, what you do not bring forth will destroy you.","Will,Within,You",Jesus Christ
"Blessed are the merciful, for they will be shown mercy.","Blessed,Mercy,Will",Jesus Christ
"Little children, you are from God, and have conquered them; for the one who is in you is greater than the one who is in this world.","God,Children,World",Jesus Christ
"Well, yes, I've fired a lot of people. Generally I like other people to fire, because it's always a lousy task. But I have fired many people.","Fire,People,Task",Donald Tump
"Jimmy Carter used to walk off the airplane carrying his own luggage. Do you remember that? I don't want my president carrying - I want the freaking Marines to be carrying his luggage, and they want to carry his luggage.","Walk,Remember,Airplane",Donald Tump
I wasn't satisfied just to earn a good living. I was looking to make a statement.,"Good,Looking,Living",Donald Tump
"One of the key problems today is that politics is such a disgrace, good people don't go into government.","Politics,Good,Today",Donald Tump
"Love him or hate him, Trump is a man who is certain about what he wants and sets out to get it, no holds barred. Women find his power almost as much of a turn-on as his money.","Love,Money,Women",Donald Tump
"I try to learn from the past, but I plan for the future by focusing exclusively on the present. That's where the fun is.","Learning,Future,Past",Donald Tump
"I do have my ducks in line if I want to do it, but I'd love to see the Republicans pick somebody that was going to win and take over this country and frankly, to use the expression, 'Make America great again.'","Love,America,Great",Donald Tump
"Experience taught me a few things. One is to listen to your gut, no matter how good something sounds on paper. The second is that you're generally better off sticking with what you know. And the third is that sometimes your best investments are the ones you don't make.","Best,Good,Experience",Donald Tump
"If you love what you do, if you love going to the office, if you really like it - not just say it, but really like it - it keeps you young and energised. I really love what I do.","Love,Young,Office",Donald Tump
"In real life, if I were firing you, I'd tell you what a great job you did, how fantastic you are, and how you can do better someplace else. If somebody steals, that's different, but generally speaking, you want to let them down as lightly as possible. It's not a very pleasant thing. I don't like firing people.","Life,Great,Job",Donald Tump
People are tired of seeing politicians as all talk and no action.,"Action,People,Tired",Donald Tump
"People assume I'm a boiler ready to explode, but I actually have very low blood pressure, which is shocking to people.","People,Pressure,Blood",Donald Tump
Windmills are going to be the death of Scotland and even England if they don't do something about them. They are ruining the countryside.,"Death,Something,Scotland",Donald Tump
"Well, real estate is always good, as far as I'm concerned.","Good,Real Estate,Real",Donald Tump
"The golf facet of my life doesn't go with the rest of my life, which is a rough-and-tumble life. I work in real estate development, which is the toughest business, and I do it in the toughest city. I deal with ruthless people.","Life,Work,Business",Donald Tump
The Iranians and Persians are excellent at the art of negotiation.,"Art,Negotiation,Excellent",Donald Tump
"The Pope, I hope, can only be scared by God.","Hope,God,Scared",Donald Tump
"Behold, I stand at the door and knock. If anyone hears my voice and opens the door, I will come in to him and eat with him, and he with me.","God,Door,Me",Jesus Christ
"Give to everyone who begs from you; and of him who takes away your goods do not ask them again. And as you wish that men would do to you, do so to them.","Men,Wish,Everyone",Jesus Christ
All my authority in heaven and on earth has been given to me.,"Heaven,Me,Earth",Jesus Christ
The 1990's sure aren't like the 1980's.,"Sure,Like",Donald Tump
A certificate of live birth is not the same thing by any stretch of the imagination as a birth certificate.,"Imagination,Live,Birth",Donald Tump
Hillary Clinton was the worst Secretary of State in the history of the country. The world came apart under her reign as Secretary of State.,"History,World,Country",Donald Tump
"As long as your going to be thinking anyway, think big.","Thinking,Long,Think",Donald Tump
Owning a great golf course gives you great power.,"Power,Great,Golf",Donald Tump
I feel a lot of people listen to what I have to say.,"People,Listen,Feel",Donald Tump
I think Les Moonves is the most highly overrated person in television.,"Television,Think,Person",Donald Tump
"If you're going to be thinking, you may as well think big.","Thinking,Think,Big",Donald Tump
"Sure, sure, I'd like to see Apples built in the United States, not built in China. I'd like to see them have factories in the United States. At least partially. They make nothing in the United States, virtually.","Apples,Nothing,See",Donald Tump
"Thanks to Hillary Clinton, Iran is now the dominant Islamic power in the Middle East, and on the road to nuclear weapons. Hillary Clinton's support for violent regime change in Syria has thrown the country into one of the bloodiest civil wars anyone has ever seen - while giving ISIS a launching pad for terrorism against the West.","Change,Power,Road",Donald Tump
I like the idea of amending the 1964 Civil Rights Act to include a ban of discrimination based on sexual orientation. It would be simple. It would be straightforward.,"Simple,Discrimination",Donald Tump
"If you love those who love you, what credit is that to you? For even sinners love those who love them. And if you do good to those who do good to you, what credit is that to you? For even sinners do the same.","Love,Good,Credit",Jesus Christ
"I am the Way, the Truth, and the Life. No one comes to the Father except through me.","Life,Truth,Father",Jesus Christ
"For everyone who exalts himself will be humbled, and everyone who humbles himself will be exalted.","Everyone,Will,Humbled",Jesus Christ
I support health care for people. I want people well taken care of. But I also want health care that we can afford as a country. I have people and friends closing down their businesses because of Obamacare.,"Health,Support,People",Donald Tump
"If I don't get along with Democrats, I'm sort of, like, out of business.","Business,Along,Like",Donald Tump
"Getting things done in this country, if you want to build something, if you want to start a company, it's getting to be virtually impossible with all of the bureaucracy and all of the approvals.","Start,Impossible,Company",Donald Tump
What separates the winners from the losers is how a person reacts to each new twist of fate.,"Fate,New,Winners",Donald Tump
I don't like losers.,"Like,Losers",Donald Tump
It's always good to be underestimated.,"Good,Always,Underestimated",Donald Tump
Everything in life is luck.,"Life,Luck,Everything",Donald Tump
"If you want to be perfect, go, sell your possessions and give to the poor, and you will have treasure in heaven.","Heaven,Perfect,Poor",Jesus Christ
"And, behold, I come quickly; and my reward is with Me, to give every man according as his work shall be. I am Alpha and Omega, the beginning and the end, the first and the last.","Work,Man,End",Jesus Christ
"My kingdom is not of this world. If it were, my servants would fight to prevent my arrest by the Jews. But now my kingdom is from another place.","World,Fight,Kingdom",Jesus Christ
"I have used the laws of this country just like the greatest people that you read about every day in business have used the laws of this country, the chapter laws, to do a great job for my company, for myself, for my employees, for my family, et cetera.","Family,Business,Myself",Donald Tump
The debt limits have to come down. The whole world of debt has to be changed as far as this country is concerned. We have to create jobs and we have to create them rapidly because if we don't things are just going to head in a direction that's going to be almost impossible to recover from.,"World,Limits,Impossible",Donald Tump
"When I see the crumbling roads and bridges, or the dilapidated airports, or the factories moving overseas to Mexico, or to other countries, I know these problems can all be fixed, but not by Hillary Clinton - only by me.","Moving,Problems,Bridges",Donald Tump
I have an attention span that's as long as it has to be.,"Attention,Long,Span",Donald Tump
"So I say to you, Ask and it will be given to you; search, and you will find; knock, and the door will be opened for you.","Religion,Door,Search",Jesus Christ
"For God so loved the World that he gave his only Son, that whoever believes in him should not perish but have eternal life.","Life,God,Religion",Jesus Christ
"A little more moderation would be good. Of course, my life hasn't exactly been one of moderation.","Life,Good,My Life",Donald Tump
"For if you love those who love you, what reward have you? Do not even the tax collectors do the same?","Love,Tax,Reward",Jesus Christ
"As the Father has loved me, so have I loved you.","Love,Father,Me",Jesus Christ
