,neighborhoods,price,sqft,title,,,,
1009,NA,"$140,000 ","
                    6br -
                    2724ft2 -
                ",Three Family for SALE,,,,
1851, (Westerleigh),"$140,000 ","
                    1000ft2 -
                ",Ideal Opportunity For Buyer Seeking For A Life Time Stable Business!,,,,
652, (Endicott),"$142,000 ","
                    3br -
                    1196ft2 -
                ",One of the best values in Upstate NY!,,,,
2059, (BRIDGEPORT),"$144,500 ","
                    7br -
                    3132ft2 -
                ","2+ FAMILY, SUNNY & READY FOR YOU!",,,,
456,NA,"$145,000 ","
                    1000ft2 -
                ",Affordable Oceanfront Living in Ecuador,,,,
1479, (Upper East Side),"$145,000 ","
                    3br -
                    2142ft2 -
                ",Exquisite Mobile Home for sale in a 55+ Golf community of El Mirage !,,,,
473, (Pelham Manor),"$149,000 ","
                    1br -
                    700ft2 -
                ",1 Bedroom Apartment for Sale,,,,
2206, (192seymour),"$149,000 ","
                    7br -
                ",3 family,,,,
2211, (192seymour),"$149,000 ","
                    7br -
                ",3 family,,,,
2038, (BRIDGEPORT),"$149,500 ","
                    5br -
                    2574ft2 -
                ",3 FAMILY-TREMENDOUS POTENTIAL,,,,
2064, (BRIDGEPORT),"$149,500 ","
                    4br -
                    2940ft2 -
                ",ATTENTION CONTRACTORS/INVESTORS,,,,
897,NA,"$149,900 ","
                    3br -
                    1334ft2 -
                ",Cape for SALE northend,,,,
1090, (46 Bittersweet Lane),"$149,900 ","
                    791ft2 -
                ",Studio in Oakridge Complex,,,,
1042, (Mount Kisco),"$150,000 ",NA,Rare Find in Mount Kisco,,,,
2062, (BRIDGEPORT),"$154,500 ","
                    5br -
                    3071ft2 -
                ",SOLID INCOME/INVESTMENT 3 UNITS!,,,,
156," (Adirondacks, Saranac, NY)","$155,000 ",NA,2 Adirondack NY Properties For One Price!,,,,
654, (Otego),"$155,000 ","
                    6br -
                    3024ft2 -
                ",Spacious Colonial style home,,,,
681, (Masonville),"$155,000 ","
                    3br -
                    2500ft2 -
                ",Upstate contemporary escape,,,,
997,NA,"$158,400 ","
                    8br -
                    4502ft2 -
                ",Three Family SALE Bridgeport,,,,
323, (LONG ISLAND),"$159,000 ","
                    2br -
                ",Detached 1 Family Ranch  Short Sale - Approved,,,,
1546, (LONG ISLAND),"$159,000 ","
                    2br -
                ",Detached 1 Family Ranch  Short Sale - Approved,,,,
336, (Croton-on-Hudson),"$160,000 ","
                    2br -
                    1020ft2 -
                ",9 Waterview Estates Unit #9,,,,
294, (PARKCHESTER 959519),"$169,000 ","
                    2br -
                ",* DON'T MISS OUT ON THIS BRONX CONDO *,,,,
2052, (BRIDGEPORT),"$169,500 ","
                    5br -
                    2519ft2 -
                ",RENOVATED 2 FAMILY-MINT CONDITION!,,,,
36, (Effort),"$169,900 ","
                    4br -
                    2816ft2 -
                ",Do Not Miss Out On This 2 Story Home In PV School District!,,,,
2111, (Flushing),"$169,999 ","
                    2br -
                ",1 Bath Co-op,,,,
332, (PARKCHESTER 908419),"$170,000 ","
                    2br -
                ",* THE OPPORTUNITY COMES TO THOSE WHO GRAB IT FIRST *,,,,
1583, (Angelica),"$179,000 ","
                    4br -
                    3998ft2 -
                ",Greek Revival in Center of Quaint Village,,,,
670, (Norwich),"$179,900 ","
                    4br -
                    3315ft2 -
                ","Own a piece of historic Norwich, NY restored colonial",,,,
1927, (Bayside),"$179,900 ","
                    1br -
                    750ft2 -
                ",Windsor Park 1 bedroom,,,,
677, (Unadilla),"$180,000 ","
                    6br -
                    3034ft2 -
                ","Impeccable, Single-family, Center Hall Upstate Colonial",,,,
1297, (Monroe),"$180,000 ","
                    3br -
                ",FEARLESS BUILDER WANTED,,,,
1941, (84 drive /Briarwood),"$180,000 ","
                    1br -
                ",1br prime Briarwood~Easy Approval !,,,,
1942, (Lawrence),"$180,000 ",NA,Land For Sale,,,,
989," (Bridgetown, NS Canada)","$184,900 ","
                    4br -
                    2200ft2 -
                ",POST- ELECTION?? MOVE TO NOVA SCOTIA!,,,,
1459, (Bethel),"$185,000 ",NA,Residential Land For Sale,,,,
1472, (Danbury),"$189,000 ","
                    2br -
                    2114ft2 -
                ","Townhouse for Sale, 2 Bedroom",,,,
48, (Harlem / Morningside),"$189,900 ","
                    3br -
                ","Great Florida Investment Opportunities - Starting at $189,900",,,,
50, (Port St. Lucie),"$189,900 ","
                    3br -
                ","Great Florida Investment Opportunities - Starting at $189,900",,,,
51, (Port St. Lucie),"$189,900 ","
                    3br -
                ","Great Florida Investment Opportunities - Starting at $189,900",,,,
52, (Port St. Lucie),"$189,900 ","
                    3br -
                ","Great Florida Investment Opportunities - Starting from $189,900",,,,
64, (Port St. Lucie),"$189,900 ","
                    3br -
                ","Great Florida Investment Opportunities - Starting at $189,900",,,,
241, (JAMAICA),"$199,000 ","
                    3br -
                ",STOP FORECLOSURE HOME!!!!,,,,
619," (LAKE MOHAWK,NJ)","$199,000 ","
                    3br -
                ","fixer upper LAKE MOHAWK -SEE ZILLOW 51 BIRCH PKWY $199,000 3BR,2BA.",,,,
627," (LAKE MOHAWK,NJ)","$199,000 ","
                    3br -
                ","LAKE MOHAWK -SEE ZILLOW 51 BIRCH PKWY $199,000 3BR,2BA.",,,,
665," (LAKE MOHAWK,NJ)","$199,000 ","
                    3br -
                ","INVESTORS, MOVE IN FIX UP LAKE MOHAWK- 51 BIRCH PARKWAY  3BR 2BA,",,,,
680," (LAKE MOHAWK,NJ)","$199,000 ","
                    3br -
                ","LAKE MOHAWK VIEWS=KIRYAS JOEL, MONROE, W'BURG, BORO PK BUYERS",,,,
647, (Bainbridge),"$199,999 ","
                    5br -
                    3876ft2 -
                ","1927 Tudor now at $199K in Upstate, NY",,,,
490,NA,"$200,000 ","
                    8br -
                ",are you looking to buy a 2 or 3 family home ?,,,,
495,NA,"$200,000 ","
                    8br -
                ",are you looking to buy a 2 or 3 family home ?,,,,
497,NA,"$200,000 ","
                    8br -
                ",are you looking to buy a 2 or 3 family home ?,,,,
532,NA,"$200,000 ","
                    8br -
                ",are you looking to buy a 2 or 3 family home ?,,,,
1939, (Freeport),"$209,000 ","
                    1br -
                ",House For Sale,,,,
506,NA,"$215,000 ","
                    7br -
                ",2 family home for sale 7 beds 3 baths,,,,
1010," (N. Bellmore, NY (APT. 2K))","$215,000 ","
                    1br -
                ","DREAM SUPER LUXURY CO-OP! OPEN HOUSE, SAT. 11/12, 12:00 - 1:30PM",,,,
2068, (BRIDGEPORT),"$219,500 ","
                    8br -
                    3224ft2 -
                ",3 UNITS-RENOVATED-COUNT YOUR RETURNS!,,,,
1043, (Financial District),"$220,000 ","
                    2br -
                    1300ft2 -
                ",We welcome everybody at the Riviera Maya,,,,
947,NA,"$224,900 ","
                    4br -
                    1326ft2 -
                ",Cape home for SALE north end,,,,
1796, (Bloomfield),"$225,900 ","
                    4br -
                ",208 Harrison St ( Multi Family brick stone home ),,,,
204, (Queens),"$229,000 ","
                    1br -
                ",Starter house for sale!!!,,,,
288, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
337, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
341, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
373, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
432, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
475, (Queens),"$229,000 ","
                    1br -
                ",House sale!!! ($1200/month),,,,
482, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
491, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
547, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
575, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available!,,,,
605, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
629, (Queens),"$229,000 ","
                    1br -
                ",House for $1200/month!!!,,,,
679, (Queens),"$229,000 ","
                    1br -
                ",House Sale!! ($1200/month),,,,
772, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
848, (Queens),"$229,000 ","
                    1br -
                ",Great Starter House Available for Sale!,,,,
1455, (Roxbury),"$229,900 ",NA,Beautiful Residential Land on Cul-de-sac,,,,
1361, (Brookfield),"$230,000 ","
                    3br -
                    1950ft2 -
                ",Single Family 3-4 Bedroom Ranch,,,,
342,NA,"$235,000 ","
                    15000ft2 -
                ",20 unit apartment building,,,,
807,NA,"$235,000 ","
                    20000ft2 -
                ",20 unit apartment building,,,,
886, (White Plains),"$235,000 ","
                    2br -
                ",White Plains Co-op for sale $235K,,,,
1262, (Kew Gardens Hills),"$235,000 ","
                    1br -
                    800ft2 -
                ",One Bedroom Co-op,,,,
1722,NA,"$235,000 ","
                    15000ft2 -
                ",20 unit apartment building,,,,
2134,NA,"$235,000 ","
                    15000ft2 -
                ",20 unit apartment building,,,,
2438,NA,"$235,000 ","
                    15000ft2 -
                ",20 unit apartment building,,,,
2063, (BRIDGEPORT),"$238,500 ","
                    6br -
                    3678ft2 -
                ",2 FAMILY-JUST REDUCED-COLLECT YOUR $,,,,
2108, (Bay Ridge),"$239,000 ","
                    1br -
                ",1 Bath Co-op,,,,
2109, (Flushing),"$239,000 ","
                    2br -
                    900ft2 -
                ",1 Bath Co-op,,,,
1495, (Stamford),"$239,900 ","
                    1br -
                    1006ft2 -
                ",1BR Condo Near Train,,,,
1503, (Stamford),"$239,900 ","
                    1br -
                    1006ft2 -
                ",1BR Condo Near Train,,,,
844,NA,"$245,000 ","
                    4br -
                ",Hempstead CAPE BUY - 4 Bedrooms !!!!! 245K - FHA OKAY,,,,
845,NA,"$245,000 ","
                    4br -
                ",Hempstead CAPE BUY - 3.5% DOWN - 4 Bedrooms !!!!! 245K - FHA OKAY,,,,
846,NA,"$245,000 ","
                    4br -
                ",Hempstead CAPE BUY - 3.5% DOWN - 4 Bedrooms !!!!! 245K - FHA OKAY,,,,
847,NA,"$245,000 ","
                    4br -
                ",Hempstead CAPE BUY - 3.5% DOWN - 4 Bedrooms !!!!! 245K - FHA OKAY,,,,
1917," (377 Westchester Avenue, Port Chester)","$245,000 ","
                    2br -
                    1200ft2 -
                ",OPEN HOUSE SATURDAY NOVEMBER 12TH FROM 12-2PM IN PORT CHESTER!,,,,
2031, (College Point),"$248,000 ","
                    1br -
                ",Large Unit Coop In Kentucky Bldg In Forest Hills,,,,
2076, (103-26 68 ave / Forest Hills),"$248,000 ","
                    1br -
                ",Large 1br co-op Board approval Required!,,,,
493, (Howard Beach),"$249,000 ","
                    3br -
                ",Single Family House Sale!,,,,
642, (Howard Beach),"$249,000 ","
                    3br -
                ",Single Family House Sale!,,,,
759, (Howard Beach),"$249,000 ","
                    3br -
                ",Single Family House Sale!,,,,
2098, (Flushing),"$249,000 ","
                    2br -
                    900ft2 -
                ",1 Bath Co-op,,,,
2112, (Flushing),"$249,000 ","
                    2br -
                    950ft2 -
                ",1 Bath Co-op,,,,
908, (forest hills),"$250,000 ","
                    450ft2 -
                ",Beautiful spacious studio,,,,
1457, (Kensington),"$250,000 ","
                    600ft2 -
                ",Medical Office space for Sale 600 sq.ft.,,,,
1943, (Freeport),"$252,900 ","
                    2br -
                ",House For Sale,,,,
2051, (BRIDGEPORT),"$254,500 ","
                    4br -
                    2430ft2 -
                ",UPDATED 2 FAMILY - BROOKLAWN,,,,
933," (Guanacaste, Costa Rica)","$255,000 ","
                    3br -
                ",Beautiful House for Sale in Costa Rica,,,,
2079, (142-15 Franklin ave),"$255,800 ","
                    1br -
                ",Large 1br new on the market --Board approval required!,,,,
791, (Sheepshead Bay),"$259,000 ","
                    2br -
                ",Extra Large 2 Bedroom Coop,,,,
2141, (Hilton Head Island),"$259,000 ","
                    2br -
                    1258ft2 -
                ",Immaculate Villa/Condo,,,,
2050, (BRIDGEPORT),"$259,500 ","
                    6br -
                    3459ft2 -
                ",2+ FAMILY OR COMMERCIAL USE,,,,
272," (Brooklyn, Bay Ridge)","$260,000 ","
                    1br -
                    600ft2 -
                ",BayRidge | Great Opportunity| True One Bedroom | SALE,,,,
628, (Canajoharie),"$260,000 ","
                    4br -
                    3000ft2 -
                ",Farmhouse With 48+ Acres (Near Cooperstown),,,,
63, (Blakeslee),"$265,000 ","
                    4br -
                    2960ft2 -
                ",Enormous Colonial For Sale In Sierra View,,,,
660, (Bainbridge),"$269,000 ","
                    4br -
                    2235ft2 -
                ",Upstate country living at its finest,,,,
891, (Forest Hills),"$269,999 ","
                    1br -
                ",NEW...NO BOARD APPROVAL REQUIRED...ONE BEDROOM CO-OP FOR SALE...,,,,
658, (Sherburne),"$270,000 ","
                    5br -
                    3818ft2 -
                ",4BR/6BA Victorian at $30K below appraisal,,,,
824, (Kew Gardens),"$270,000 ","
                    1br -
                ",Sponsor unit! No board approval ! Quick process SPACIOUS 1bed,,,,
860, (fresh Meadows),"$270,000 ","
                    1br -
                ",beautiful spacious one bedroom apartment for sale ! SPONSOR UNIT,,,,
2324, (Middletown NY),"$274,900 ","
                    4br -
                    2000ft2 -
                ",Brand New 4 bedroom house only 50 mins from NYC,,,,
649, (Norwich),"$275,000 ","
                    3br -
                    3933ft2 -
                ","Perfect home/office site in Norwich, NY",,,,
1005, (Howard Beach),"$275,000 ","
                    2br -
                    1135ft2 -
                ","Large 2 Bed/2Bath COOP W/ Brand New Kitchen/Bathrooms, Private Terrace",,,,
2160," (Reading, Pennsylvania)","$277,000 ",NA,Investment Properties 7 Properties/8 Units,,,,
13, (B. 44th St.),"$279,000 ","
                    3br -
                    1000ft2 -
                ",Affordable Housing in Far Rockaway.,,,,
200, (Far Rockaway),"$279,000 ","
                    2br -
                ",Lovely 2 bedroom house for sale!,,,,
771, (Stratford North End),"$279,900 ","
                    2br -
                    1300ft2 -
                ",RENOVATED SUNNY RANCH,,,,
850, (Norwalk),"$280,000 ","
                    4br -
                ",***Fairfield County Homes for sale***,,,,
1774, (Ocean Parkway & Ave. T),"$289,000 ","
                    1br -
                    900ft2 -
                ",X-Large 1 Bedroom co-op for sale!!!,,,,
2110, (Flushing),"$289,000 ","
                    2br -
                    950ft2 -
                ",1 Bath Co-op,,,,
335, (LAURELTON 97059),"$289,999 ","
                    3br -
                ",* WITH THIS HOME YOU WILL BE HAPPY *,,,,
350, (LAURELTON 97059),"$289,999 ","
                    3br -
                ",* WITH THIS HOME YOU WILL BE HAPPY *,,,,
1952, (Massapequa),"$290,000 ","
                    4br -
                ",House For Sale,,,,
648," (Georgetown Road, Weston, CT)","$295,000 ",NA,"Building Lot, Weston, CT ""Shovel Ready""",,,,
1155, (Kensington),"$295,000 ","
                    640ft2 -
                ","Top Floor, Large Alcove Studio",,,,
2091, (9 Arbutus Street),"$295,000 ","
                    3br -
                    2118ft2 -
                ",A rare opportunity to create a spectacular forever home,,,,
225, (Travis),"$299,000 ","
                    2250ft2 -
                ",LAND FOR SALE (VICTORY BLVD),,,,
244, (jamaica),"$299,000 ",NA,2 FM STOP FORECLOSURE!!!,,,,
717, (Mariners Harbor),"$299,000 ","
                    4br -
                    1688ft2 -
                ",Two Family Detached (Arlington Ave),,,,
1306, (Winterville),"$299,000 ",NA,retreat in Northern Maine,,,,
1914,NA,"$299,000 ","
                    1br -
                    760ft2 -
                ",Renovated condo in the heart of Stamford,,,,
2072, (63 street and Queens Blvd),"$299,000 ","
                    1br -
                ",1BR/1BA Co-Op - Woodside,,,,
2077, (63 street and Queens Blvd),"$299,000 ","
                    1br -
                ",1BR/1BA Co-Op - Woodside,,,,
851, (NEW ROCHELLE),"$299,021 ","
                    3br -
                    1160ft2 -
                ",JUST REDUCED!! SINGLE FAMILY HOME ON SAINT JOSEPHS PLACE FOR SALE!,,,,
809,NA,"$299,500 ","
                    3br -
                    1500ft2 -
                ",Lovely house in Sandy Hook,,,,
2056, (STRATFORD CT),"$299,500 ",NA,READY TO BUILD ON! - PRIME COMMERCIAL,,,,
1276, (Sound Beach),"$299,900 ","
                    4br -
                    2015ft2 -
                ",Absolutely Beautiful Hi-ranch with Brand New Baths!!,,,,
1293, (Sound Beach),"$299,900 ","
                    4br -
                    2015ft2 -
                ",Beautiful Newly Renovated 4 Bedroom Home,,,,
1301, (Sound Beach),"$299,900 ","
                    4br -
                    2015ft2 -
                ",Fully-Renovated 4Br Home in Sound Beach For Sale!!,,,,
1345, (Sound Beach),"$299,900 ","
                    4br -
                    2015ft2 -
                ",+++ Renovated Home Granite Kitchen 4BR 2Bath,,,,
1364, (Sound Beach),"$299,900 ","
                    4br -
                    2015ft2 -
                ","Lovely, Spacious, Newly renovated Hi-ranch!!",,,,
1428, (Sound Beach),"$299,900 ","
                    4br -
                    2015ft2 -
                ",Totally Renovated 4Br 2Bath House for Sale at 33 Manhasset Rd,,,,
1924, (Bohemia),"$299,950 ","
                    3br -
                ",House For Sale,,,,
1525, (WYANDANCH),"$299,990 ",NA,BIG BANG FOR YOUR BUCK!  BRAND NEW HOME,,,,
1531, (WYANDANCH),"$299,990 ",NA,YOU DON'T NEED TO BLEACH THE PROBLEM AREAS! BRAND NEW HOME!,,,,
1540, (WYANDANCH),"$299,990 ",NA,KICK IT HARD! BRAND NEW HOME!,,,,
663, (Norwich),"$300,000 ","
                    3br -
                    1617ft2 -
                ",Incredible value for an upstate horse farm,,,,
1485, (Danbury),"$309,000 ","
                    3br -
                    1854ft2 -
                ",Single Family 3 Bedroom Ranch,,,,
309, (Forest Hills),"$310,000 ","
                    2br -
                ","**********HighRise 2 Bedroom, Renovated For Sale**********",,,,
797, (Kew Gardens),"$310,000 ","
                    2br -
                ",sponsor unit! NO BOARD APPROVAL ! QUICK PROCESS 2bed,,,,
800, (Kew Gardens),"$310,000 ","
                    2br -
                ",sponsor unit! NO BOARD APPROVAL ! QUICK PROCESS 2bed,,,,
1277, (Forest Hills),"$310,000 ",NA,Lovely Co-Op with Large Terrace,,,,
2055, (SHELTON),"$314,500 ","
                    2br -
                    1658ft2 -
                ",UPDATED TOWNHOUSE-IMMEDIATE OCCUPANCY!,,,,
2156," (Downtown Stamford, CT)","$319,800 ","
                    1br -
                    820ft2 -
                ",★ DOWNTOWN CLASSIC★ LUXURY MODERN 1BR/1GARAGE/W/D PERKS !,,,,
2162," (Downtown Stamford, CT)","$319,800 ","
                    1br -
                    820ft2 -
                ",★ DOWNTOWN CLASSIC★ LUXURY MODERN 1BR/1GARAGE/W/D PERKS !,,,,
722, (Danbury),"$320,000 ","
                    2br -
                    1622ft2 -
                ",Townhouse for sale,,,,
1036, (84th Drive),"$320,000 ","
                    2br -
                ",BRiARWOOD,,,,
1365, (Washington Township),"$320,000 ","
                    4br -
                    1705ft2 -
                ",Handyman Special in Washington Township,,,,
1463, (jamaica),"$320,000 ","
                    2br -
                    928ft2 -
                ",2 bedroom house for sale,,,,
2312, (BRIARWOOD/FOREST HILLS),"$320,000 ",NA,NO BOARD@HUGE 2BR@STEPS TO EX TRAIN,,,,
953," (961 Plantation Drive, Marion, NC)","$324,500 ","
                    3br -
                    1972ft2 -
                ",Lake Home @ Lake James,,,,
956," (961 Plantation Drive, Marion, NC)","$324,500 ","
                    3br -
                    1972ft2 -
                ",Lake Home @ Lake James,,,,
965," (961 Plantation Drive, Marion, NC)","$324,500 ","
                    3br -
                    1972ft2 -
                ",Lake Home @ Lake James,,,,
53, (Riverdale),"$325,000 ","
                    2br -
                    1250ft2 -
                ",Stunning 2BR 2BATH Doorman Coop~1250 sq ft~Mins to NYC!!!,,,,
326, (Far Rockaway),"$325,000 ","
                    3br -
                ",Beautiful 3 bedroom apartment!,,,,
2325, (WARDHILL),"$325,000 ","
                    2br -
                ",Extra large 2 bedrooms townhouse for sale in Ward Hill,,,,
44, (ROSEDALE),"$329,000 ",NA,2 FM STOP FORECLOSURE!!!,,,,
239, (Bronx),"$329,000 ",NA,2 fm stop foreclosure !!!!,,,,
2330, (Battery Park),"$329,000 ","
                    6br -
                    3502ft2 -
                ","LAKE GEORGE AREA Bed & Breakfast for Sale ***Reduced to $329,000***",,,,
2070, (STRATFORD),"$329,500 ","
                    4br -
                    3153ft2 -
                ",UPDATED ANTIQUE WITH ALL THE CHARM!,,,,
206, (Howard Beach),"$330,000 ","
                    3br -
                ",Beautiful house for sale!,,,,
378, (Howard Beach),"$330,000 ","
                    3br -
                ",Beautiful house for sale!,,,,
542, (Howard Beach),"$330,000 ","
                    3br -
                ",Beautiful house for sale!,,,,
603, (Howard Beach),"$330,000 ","
                    3br -
                ",HOUSE SALE!,,,,
607, (Howard Beach),"$330,000 ","
                    3br -
                ",Great Starter House Available for Sale!,,,,
678, (Howard Beach),"$330,000 ","
                    3br -
                ",Beautiful house for sale!,,,,
664, (Butternuts),"$337,000 ","
                    3br -
                    2464ft2 -
                ",Country living at its finest with stunning views in Gilbertsville NY,,,,
816, (BROOKLYN),"$339,000 ","
                    2br -
                ",2 Bedroom Condo Unit on 3rd Fl,,,,
1313, (BROOKLYN),"$339,000 ","
                    2br -
                ",2 Bedroom Condo Unit on 3rd Fl,,,,
2073, (BROOKLYN),"$339,000 ","
                    2br -
                ",2 Bedroom Condo Unit on 3rd Fl,,,,
1533, (WHEATLEY HEIGHTS),"$339,990 ",NA,"""ITS NOT MY DAZZLING BLUE EYES! Brand New Home!",,,,
729, (Kew Gardens),"$340,000 ","
                    2br -
                ","SPACIOUS 2 BEDROOMS APT/ SPONSOR UNIT , NO BOARD APPROVAL",,,,
513,NA,"$345,000 ","
                    8br -
                ",Multi family home for sale! 8 beds 3 baths,,,,
1944, (Freeport),"$345,000 ","
                    4br -
                ",House For Sale,,,,
2075, (FOREST HILLS),"$345,000 ","
                    2br -
                ",~HIGH FLOOR~2BR/1BA - D/M - Forest Hills,,,,
169,NA,"$349,000 ","
                    2br -
                ",2 br condo upper ditmars,,,,
223,NA,"$349,000 ","
                    1br -
                ",1 br condo astoria,,,,
228,NA,"$349,000 ","
                    1br -
                ",1 br condo astoria,,,,
1773, (162 Yonkers Ave),"$349,000 ","
                    918ft2 -
                ",S Yonkers,,,,
1891, (New Fairfield),"$349,000 ","
                    3br -
                ",Candlewood Lake House/ with income,,,,
1958, (Yellowstone Blvd / Forest Hills),"$349,000 ","
                    2br -
                ",NEW~Large 2br 1bath~D/M~Pets Ok~NO BOARD Required!,,,,
2113, (Bayside),"$349,000 ","
                    1br -
                ",1 Bath Co-op,,,,
2209, (Boca Raton),"$349,000 ","
                    2br -
                ",2/2 Condo in sunny Boca Raton Fl. You need some sun come on down.,,,,
2327, (FOREST HILLS),"$349,000 ","
                    1br -
                ",NO BOARD@GIANT 1BR@IMPECABLE RENOVATION@PARKING@PS 196,,,,
1935, (Baldwin),"$349,900 ",NA,Land For Sale,,,,
1884, (Royal Palm Beach),"$349,999 ","
                    4br -
                ",Ranch Home Lake View minutes from West Palm Beach,,,,
2135,NA,"$349,999 ","
                    3br -
                    2332ft2 -
                ",Log Home - Custom Built - NE PA - near Kalahai Water Park,,,,
2137,NA,"$349,999 ","
                    3br -
                    2332ft2 -
                ",Log Home - Custom Built - NE PA - near Kalahai Water Park,,,,
2140,NA,"$349,999 ","
                    3br -
                    2332ft2 -
                ",Log Home - Custom Built - NE PA - near Kalahai Water Park,,,,
2143,NA,"$349,999 ","
                    3br -
                    2332ft2 -
                ",Log Home - Custom Built - NE PA - near Kalahai Water Park,,,,
2146,NA,"$349,999 ","
                    3br -
                    2332ft2 -
                ",Log Home - Custom Built - NE PA - near Kalahai Water Park,,,,
2148,NA,"$349,999 ","
                    3br -
                    2332ft2 -
                ",Log Home - Custom Built - NE PA - near Kalahai Water Park,,,,
202, (Queens),"$350,000 ","
                    3br -
                ",Beautiful house for sale!!!!!,,,,
311, (Howard Beach),"$350,000 ","
                    3br -
                ",Beautiful house for sale!,,,,
421, (Queens),"$350,000 ","
                    3br -
                ",HOUSE SALE!!!!,,,,
427, (Queens),"$350,000 ","
                    3br -
                ",HOUSE SALE!!!!,,,,
451, (Howard Beach),"$350,000 ","
                    3br -
                ",Beautiful house for sale!,,,,
519, (Queens),"$350,000 ","
                    3br -
                ",Renovated House for sale!!!,,,,
631, (Queens),"$350,000 ","
                    3br -
                ",Renovated House for sale!!!,,,,
637, (Queens),"$350,000 ","
                    3br -
                ",One Family House for Sale!!,,,,
732, (Queens),"$350,000 ","
                    3br -
                ",HOUSE SALE!!!!,,,,
775, (Queens),"$350,000 ","
                    3br -
                ",HOUSE SALE!!!!,,,,
2288, (Upper East Side),"$350,000 ",NA,Furnished Studio in Carnegie Hill,,,,
2345, (Ossining),"$355,000 ","
                    2br -
                    1350ft2 -
                ","Briarcliff Manor, NY Condo for Sale - 2bd 2ba/1hba",,,,
1220, (South Ozone Park),"$359,000 ","
                    3br -
                ",Single Family House For Sale__Great Location__,,,,
1271, (Forest Hills),"$359,000 ","
                    2br -
                ",Price Reduction: Renovated Co-op With Terrace,,,,
1019, (Louis Ave),"$360,000 ","
                    4br -
                ",2 Family 4 Sale,,,,
1269, (Rego Park),"$360,000 ","
                    2br -
                    850ft2 -
                ",Two Bedroom co op apt.,,,,
1950, (Lake Grove),"$365,000 ","
                    4br -
                ",House For Sale,,,,
2078, (Lindenhurst),"$365,000 ","
                    3br -
                ",House For Sale,,,,
164, (Horse Branch),"$369,000 ",NA,Log cabin with 70 wooded acres.,,,,
1305, (brooklyn),"$369,000 ","
                    2br -
                    568ft2 -
                ","16 Lake Ave ,Single Family Home Sheepshead Bay!",,,,
755, (Warren),"$369,900 ","
                    3br -
                    2240ft2 -
                ","Country Home in Litchfield county,CT",,,,
1032, (Valley Cottage),"$369,900 ","
                    3br -
                    1980ft2 -
                ",#NAME?,,,,
2314, (ARROCHAR),"$369,999 ","
                    2br -
                ",Detached home for sale in Arrochar,,,,
15, (Broad Channel),"$375,000 ","
                    3br -
                    1600ft2 -
                ",Fully Renovated 3BR in Broad Channel,,,,
1530, (140-48 161st St),"$375,000 ","
                    3br -
                ",BEUTIFUL ONE FAMILY HOUSE FOR SALE Springfield Gardens,,,,
1776,NA,"$375,000 ","
                    2br -
                    1998ft2 -
                ",Single Family Home for Sale on Beautiful City Island,,,,
2347, (Forest Hills),"$378,000 ","
                    2br -
                ",NO BOARD BELOW MARKET 2B/1BH@PS 101,,,,
1464, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1465, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1466, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1467, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1468, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1470, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1473, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1474, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1476, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1477, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1478, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
1480, (Ridge),"$379,900 ","
                    4br -
                    2400ft2 -
                ",Colonial...Style so Gracious & Extra Spacious,,,,
